Algo: i2aEnvironment: RegularMiniPacmanNoFrameskip-v0
Updates 0, num timesteps 160, FPS 161, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.60944, value loss 1.48998, policy loss 1.32176, distill_loss 0.00004, time 0.01648 min
Updates 43240, num timesteps 6918560, FPS 367, mean/median reward 123.0/125.0, min/max reward 9.0/379.0, entropy 0.03274, value loss 56.54451, policy loss 0.02951, distill_loss -141.85083, time 314.09824 min
Updates 43250, num timesteps 6920160, FPS 367, mean/median reward 117.3/125.0, min/max reward 8.0/379.0, entropy 0.02984, value loss 3.94552, policy loss 0.02259, distill_loss -122.90660, time 314.16678 min
Updates 43260, num timesteps 6921760, FPS 367, mean/median reward 128.8/126.0, min/max reward 8.0/379.0, entropy 0.00385, value loss 31.21167, policy loss -0.00582, distill_loss -148.04141, time 314.23512 min
Updates 43270, num timesteps 6923360, FPS 367, mean/median reward 139.0/126.0, min/max reward 8.0/379.0, entropy 0.03973, value loss 14.16580, policy loss -0.09349, distill_loss -136.47746, time 314.30488 min
Updates 43280, num timesteps 6924960, FPS 367, mean/median reward 150.2/127.0, min/max reward 8.0/401.0, entropy 0.03672, value loss 36.65853, policy loss -0.04526, distill_loss -132.35010, time 314.37362 min
Updates 43290, num timesteps 6926560, FPS 367, mean/median reward 154.7/129.0, min/max reward 8.0/401.0, entropy 0.02501, value loss 39.26276, policy loss -0.08222, distill_loss -139.06122, time 314.44164 min
Updates 43300, num timesteps 6928160, FPS 367, mean/median reward 155.4/127.0, min/max reward 8.0/401.0, entropy 0.02950, value loss 4.99794, policy loss -0.02448, distill_loss -134.32701, time 314.51080 min
Updates 43310, num timesteps 6929760, FPS 367, mean/median reward 156.1/127.0, min/max reward 8.0/401.0, entropy 0.02067, value loss 15.30044, policy loss -0.01261, distill_loss -136.41054, time 314.58491 min
Updates 43320, num timesteps 6931360, FPS 367, mean/median reward 173.2/134.0, min/max reward 3.0/401.0, entropy 0.06981, value loss 43.83437, policy loss -0.05818, distill_loss -112.90344, time 314.65390 min
Updates 43330, num timesteps 6932960, FPS 367, mean/median reward 188.8/138.0, min/max reward 3.0/415.0, entropy 0.03845, value loss 4.42636, policy loss -0.06665, distill_loss -115.62431, time 314.72330 min
Updates 43340, num timesteps 6934560, FPS 367, mean/median reward 203.0/140.0, min/max reward 4.0/415.0, entropy 0.01811, value loss 6.34641, policy loss 0.13421, distill_loss -124.31956, time 314.79226 min
Updates 43350, num timesteps 6936160, FPS 367, mean/median reward 193.7/138.0, min/max reward 1.0/415.0, entropy 0.04450, value loss 38.86334, policy loss -0.04205, distill_loss -116.88844, time 314.86177 min
Updates 43360, num timesteps 6937760, FPS 367, mean/median reward 173.9/138.0, min/max reward 1.0/415.0, entropy 0.02044, value loss 6.45081, policy loss 0.01308, distill_loss -124.57689, time 314.93087 min
Updates 43370, num timesteps 6939360, FPS 367, mean/median reward 182.7/140.0, min/max reward 1.0/415.0, entropy 0.03354, value loss 7.94980, policy loss 0.00504, distill_loss -121.35173, time 314.99915 min
Updates 43380, num timesteps 6940960, FPS 367, mean/median reward 181.1/140.0, min/max reward 1.0/488.0, entropy 0.07546, value loss 3.68061, policy loss 0.02099, distill_loss -119.46739, time 315.06908 min
Updates 43390, num timesteps 6942560, FPS 367, mean/median reward 185.8/147.0, min/max reward 1.0/488.0, entropy 0.02848, value loss 60.63190, policy loss -0.02554, distill_loss -142.07314, time 315.13809 min
Updates 43400, num timesteps 6944160, FPS 367, mean/median reward 182.5/147.0, min/max reward 1.0/488.0, entropy 0.02062, value loss 3.02815, policy loss -0.00586, distill_loss -126.05110, time 315.20723 min
Updates 43410, num timesteps 6945760, FPS 367, mean/median reward 194.8/166.0, min/max reward 1.0/488.0, entropy 0.10135, value loss 6.05786, policy loss 0.02435, distill_loss -109.26736, time 315.28265 min
Updates 43420, num timesteps 6947360, FPS 367, mean/median reward 186.2/147.0, min/max reward 1.0/488.0, entropy 0.06079, value loss 71.66234, policy loss -0.04887, distill_loss -128.10016, time 315.35138 min
Updates 43430, num timesteps 6948960, FPS 367, mean/median reward 183.8/140.0, min/max reward 0.0/488.0, entropy 0.03201, value loss 89.66144, policy loss -0.08810, distill_loss -146.56390, time 315.42089 min
Updates 43440, num timesteps 6950560, FPS 367, mean/median reward 179.1/138.0, min/max reward 0.0/488.0, entropy 0.01785, value loss 3.63279, policy loss 0.00333, distill_loss -135.71129, time 315.49029 min
Updates 43450, num timesteps 6952160, FPS 367, mean/median reward 182.7/139.0, min/max reward 0.0/488.0, entropy 0.05762, value loss 3.71926, policy loss -0.02952, distill_loss -105.38539, time 315.55865 min
Updates 43460, num timesteps 6953760, FPS 367, mean/median reward 180.3/138.0, min/max reward 0.0/488.0, entropy 0.10005, value loss 3.38352, policy loss 0.01927, distill_loss -118.86243, time 315.62786 min
Updates 43470, num timesteps 6955360, FPS 367, mean/median reward 183.0/138.0, min/max reward 0.0/488.0, entropy 0.05831, value loss 87.98781, policy loss -0.03516, distill_loss -141.67209, time 315.69699 min
Updates 43480, num timesteps 6956960, FPS 367, mean/median reward 190.6/139.0, min/max reward 8.0/488.0, entropy 0.06257, value loss 3.35359, policy loss -0.01758, distill_loss -134.45447, time 315.76637 min
Updates 43490, num timesteps 6958560, FPS 367, mean/median reward 157.2/137.0, min/max reward 6.0/410.0, entropy 0.03453, value loss 5.35175, policy loss -0.10624, distill_loss -137.48157, time 315.83585 min
Updates 43500, num timesteps 6960160, FPS 367, mean/median reward 152.1/135.0, min/max reward 8.0/410.0, entropy 0.04048, value loss 5.03811, policy loss 0.04259, distill_loss -119.61433, time 315.90420 min
Updates 43510, num timesteps 6961760, FPS 367, mean/median reward 151.5/135.0, min/max reward 8.0/410.0, entropy 0.04392, value loss 2.97376, policy loss -0.01042, distill_loss -130.16202, time 315.97852 min
Updates 43520, num timesteps 6963360, FPS 367, mean/median reward 148.8/128.0, min/max reward 8.0/410.0, entropy 0.02052, value loss 42.60501, policy loss 0.01278, distill_loss -122.08385, time 316.04715 min
Updates 43530, num timesteps 6964960, FPS 367, mean/median reward 156.7/135.0, min/max reward 8.0/410.0, entropy 0.03296, value loss 2.68363, policy loss 0.02257, distill_loss -165.55704, time 316.11569 min
Updates 43540, num timesteps 6966560, FPS 367, mean/median reward 148.9/128.0, min/max reward 4.0/355.0, entropy 0.05322, value loss 2.16931, policy loss -0.01456, distill_loss -131.91885, time 316.18434 min
Updates 43550, num timesteps 6968160, FPS 367, mean/median reward 144.3/128.0, min/max reward 4.0/355.0, entropy 0.05935, value loss 16.71321, policy loss -0.12723, distill_loss -120.68037, time 316.25245 min
Updates 43560, num timesteps 6969760, FPS 367, mean/median reward 147.0/135.0, min/max reward 4.0/355.0, entropy 0.03806, value loss 3.75880, policy loss 0.05632, distill_loss -123.91084, time 316.32129 min
Updates 43570, num timesteps 6971360, FPS 367, mean/median reward 160.1/138.0, min/max reward 8.0/355.0, entropy 0.03364, value loss 9.65956, policy loss 0.10593, distill_loss -117.19563, time 316.39065 min
Updates 43580, num timesteps 6972960, FPS 367, mean/median reward 151.6/128.0, min/max reward 8.0/355.0, entropy 0.05003, value loss 6.53025, policy loss -0.01221, distill_loss -121.75194, time 316.46032 min
Updates 43590, num timesteps 6974560, FPS 367, mean/median reward 167.1/140.0, min/max reward 8.0/406.0, entropy 0.03764, value loss 7.39856, policy loss -0.00028, distill_loss -152.02812, time 316.52875 min
Updates 43600, num timesteps 6976160, FPS 367, mean/median reward 194.2/150.0, min/max reward 8.0/406.0, entropy 0.07607, value loss 12.25787, policy loss -0.48298, distill_loss -117.02119, time 316.59811 min
Updates 43610, num timesteps 6977760, FPS 367, mean/median reward 204.9/150.0, min/max reward 8.0/406.0, entropy 0.04243, value loss 4.51230, policy loss -0.00435, distill_loss -129.52925, time 316.67220 min
Updates 43620, num timesteps 6979360, FPS 367, mean/median reward 198.5/140.0, min/max reward 8.0/406.0, entropy 0.04252, value loss 7.11104, policy loss 0.01993, distill_loss -123.82961, time 316.74083 min
Updates 43630, num timesteps 6980960, FPS 367, mean/median reward 182.2/137.0, min/max reward 4.0/406.0, entropy 0.09972, value loss 9.72052, policy loss -0.01521, distill_loss -117.36636, time 316.81069 min
Updates 43640, num timesteps 6982560, FPS 367, mean/median reward 161.7/135.0, min/max reward 3.0/406.0, entropy 0.05066, value loss 2.48532, policy loss -0.02968, distill_loss -133.86502, time 316.88048 min
Updates 43650, num timesteps 6984160, FPS 367, mean/median reward 155.4/134.0, min/max reward 3.0/405.0, entropy 0.02982, value loss 3.34436, policy loss 0.04145, distill_loss -128.51100, time 316.94958 min
Updates 43660, num timesteps 6985760, FPS 367, mean/median reward 155.7/131.0, min/max reward 3.0/405.0, entropy 0.07046, value loss 2.69070, policy loss -0.01298, distill_loss -126.44402, time 317.01828 min
Updates 43670, num timesteps 6987360, FPS 367, mean/median reward 143.2/131.0, min/max reward 3.0/384.0, entropy 0.06543, value loss 4.71445, policy loss 0.13278, distill_loss -119.94613, time 317.08700 min
Updates 43680, num timesteps 6988960, FPS 367, mean/median reward 128.0/127.0, min/max reward 5.0/324.0, entropy 0.05163, value loss 9.28313, policy loss -0.01964, distill_loss -140.24030, time 317.15647 min
Updates 43690, num timesteps 6990560, FPS 367, mean/median reward 126.3/127.0, min/max reward 5.0/324.0, entropy 0.06265, value loss 5.00300, policy loss 0.00583, distill_loss -132.09189, time 317.22558 min
Updates 43700, num timesteps 6992160, FPS 367, mean/median reward 115.1/109.0, min/max reward 5.0/324.0, entropy 0.06361, value loss 26.84365, policy loss -0.02742, distill_loss -114.91200, time 317.29390 min
Updates 43710, num timesteps 6993760, FPS 367, mean/median reward 113.2/109.0, min/max reward 5.0/324.0, entropy 0.03410, value loss 6.36176, policy loss -0.03410, distill_loss -111.63585, time 317.36705 min
Updates 43720, num timesteps 6995360, FPS 367, mean/median reward 111.2/114.0, min/max reward 5.0/324.0, entropy 0.01673, value loss 8.39473, policy loss -0.03427, distill_loss -106.73810, time 317.43593 min
Updates 43730, num timesteps 6996960, FPS 367, mean/median reward 117.8/124.0, min/max reward 5.0/324.0, entropy 0.08702, value loss 2.50754, policy loss -0.03272, distill_loss -102.75954, time 317.50455 min
Updates 43740, num timesteps 6998560, FPS 367, mean/median reward 132.9/131.0, min/max reward 56.0/324.0, entropy 0.07957, value loss 2.66317, policy loss -0.04602, distill_loss -113.89028, time 317.57368 min
Updates 43750, num timesteps 7000160, FPS 367, mean/median reward 133.9/131.0, min/max reward 19.0/324.0, entropy 0.05980, value loss 4.15322, policy loss -0.02957, distill_loss -124.54476, time 317.64253 min
Updates 43760, num timesteps 7001760, FPS 367, mean/median reward 135.3/131.0, min/max reward 19.0/324.0, entropy 0.07145, value loss 1.86906, policy loss 0.01098, distill_loss -130.74406, time 317.71217 min
Updates 43770, num timesteps 7003360, FPS 367, mean/median reward 140.7/131.0, min/max reward 6.0/324.0, entropy 0.04026, value loss 68.13583, policy loss 0.02081, distill_loss -123.27930, time 317.78148 min
Updates 43780, num timesteps 7004960, FPS 367, mean/median reward 131.5/129.0, min/max reward 6.0/324.0, entropy 0.04919, value loss 2.76482, policy loss -0.01236, distill_loss -108.71140, time 317.84993 min
Updates 43790, num timesteps 7006560, FPS 367, mean/median reward 130.6/127.0, min/max reward 2.0/324.0, entropy 0.04578, value loss 4.50782, policy loss -0.03823, distill_loss -132.39627, time 317.91890 min
Updates 43800, num timesteps 7008160, FPS 367, mean/median reward 137.3/132.0, min/max reward 2.0/324.0, entropy 0.04920, value loss 1.65994, policy loss 0.02509, distill_loss -120.51141, time 317.98753 min
Updates 43810, num timesteps 7009760, FPS 367, mean/median reward 152.1/134.0, min/max reward 2.0/324.0, entropy 0.06510, value loss 2.63173, policy loss 0.00419, distill_loss -113.43237, time 318.06090 min
Updates 43820, num timesteps 7011360, FPS 367, mean/median reward 171.0/137.0, min/max reward 6.0/324.0, entropy 0.05508, value loss 53.23417, policy loss -0.00871, distill_loss -127.86829, time 318.13108 min
Updates 43830, num timesteps 7012960, FPS 367, mean/median reward 175.0/138.0, min/max reward 6.0/324.0, entropy 0.07213, value loss 2.08603, policy loss 0.02757, distill_loss -133.74326, time 318.20034 min
Updates 43840, num timesteps 7014560, FPS 367, mean/median reward 174.3/138.0, min/max reward 32.0/324.0, entropy 0.09032, value loss 2.53869, policy loss -0.04597, distill_loss -118.91579, time 318.26966 min
Updates 43850, num timesteps 7016160, FPS 367, mean/median reward 156.0/135.0, min/max reward 11.0/324.0, entropy 0.12092, value loss 2.61453, policy loss -0.01252, distill_loss -116.64142, time 318.34025 min
Updates 43860, num timesteps 7017760, FPS 367, mean/median reward 142.8/134.0, min/max reward 4.0/324.0, entropy 0.16784, value loss 104.06913, policy loss -0.21138, distill_loss -102.49809, time 318.40959 min
Updates 43870, num timesteps 7019360, FPS 367, mean/median reward 145.8/134.0, min/max reward 4.0/414.0, entropy 0.06405, value loss 2.08407, policy loss -0.01757, distill_loss -107.13811, time 318.47958 min
Updates 43880, num timesteps 7020960, FPS 367, mean/median reward 144.7/135.0, min/max reward 4.0/414.0, entropy 0.08717, value loss 56.79929, policy loss 0.05854, distill_loss -128.44046, time 318.54988 min
Updates 43890, num timesteps 7022560, FPS 367, mean/median reward 140.2/134.0, min/max reward 4.0/414.0, entropy 0.06300, value loss 95.34954, policy loss -0.28082, distill_loss -149.53419, time 318.61902 min
Updates 43900, num timesteps 7024160, FPS 367, mean/median reward 136.1/134.0, min/max reward 4.0/414.0, entropy 0.02962, value loss 3.74747, policy loss 0.01199, distill_loss -162.69583, time 318.68834 min
Updates 43910, num timesteps 7025760, FPS 367, mean/median reward 138.8/134.0, min/max reward 4.0/414.0, entropy 0.03905, value loss 7.32016, policy loss -0.05436, distill_loss -144.87744, time 318.76292 min
Updates 43920, num timesteps 7027360, FPS 367, mean/median reward 151.8/135.0, min/max reward 4.0/414.0, entropy 0.04160, value loss 8.74548, policy loss -0.20590, distill_loss -155.74487, time 318.83289 min
Updates 43930, num timesteps 7028960, FPS 367, mean/median reward 153.0/135.0, min/max reward 4.0/414.0, entropy 0.05597, value loss 2.98767, policy loss 0.04370, distill_loss -134.47655, time 318.90198 min
Updates 43940, num timesteps 7030560, FPS 367, mean/median reward 176.2/138.0, min/max reward 0.0/414.0, entropy 0.09931, value loss 3.25636, policy loss 0.24657, distill_loss -154.39107, time 318.97305 min
Updates 43950, num timesteps 7032160, FPS 367, mean/median reward 168.5/138.0, min/max reward 0.0/416.0, entropy 0.09123, value loss 23.20854, policy loss 0.07098, distill_loss -130.97993, time 319.04286 min
Updates 43960, num timesteps 7033760, FPS 367, mean/median reward 161.7/133.0, min/max reward 0.0/416.0, entropy 0.06554, value loss 6.12007, policy loss 0.01932, distill_loss -117.75812, time 319.11286 min
Updates 43970, num timesteps 7035360, FPS 367, mean/median reward 161.3/133.0, min/max reward 4.0/416.0, entropy 0.04556, value loss 3.23571, policy loss 0.01401, distill_loss -105.76648, time 319.18337 min
Updates 43980, num timesteps 7036960, FPS 367, mean/median reward 144.1/132.0, min/max reward 1.0/324.0, entropy 0.03841, value loss 1.68113, policy loss -0.03056, distill_loss -117.38232, time 319.25452 min
Updates 43990, num timesteps 7038560, FPS 367, mean/median reward 147.8/133.0, min/max reward 1.0/324.0, entropy 0.02953, value loss 215.59363, policy loss -0.85250, distill_loss -137.76425, time 319.32374 min
Updates 44000, num timesteps 7040160, FPS 367, mean/median reward 141.1/133.0, min/max reward 1.0/324.0, entropy 0.02779, value loss 28.54426, policy loss 0.00243, distill_loss -130.56326, time 319.39315 min
Updates 44010, num timesteps 7041760, FPS 367, mean/median reward 143.5/134.0, min/max reward 1.0/324.0, entropy 0.02557, value loss 25.06594, policy loss -0.28386, distill_loss -132.43134, time 319.46873 min
Updates 44020, num timesteps 7043360, FPS 367, mean/median reward 139.2/133.0, min/max reward 1.0/324.0, entropy 0.04714, value loss 28.11061, policy loss -0.02929, distill_loss -126.23131, time 319.53868 min
Updates 44030, num timesteps 7044960, FPS 367, mean/median reward 133.9/132.0, min/max reward 1.0/324.0, entropy 0.03140, value loss 1.74392, policy loss -0.00728, distill_loss -115.70408, time 319.60757 min
Updates 44040, num timesteps 7046560, FPS 367, mean/median reward 130.2/128.0, min/max reward 1.0/365.0, entropy 0.07701, value loss 9.99662, policy loss -0.33909, distill_loss -127.60751, time 319.67709 min
Updates 44050, num timesteps 7048160, FPS 367, mean/median reward 138.2/132.0, min/max reward 1.0/365.0, entropy 0.04081, value loss 9.53807, policy loss -0.02514, distill_loss -152.99979, time 319.74751 min
Updates 44060, num timesteps 7049760, FPS 367, mean/median reward 151.8/134.0, min/max reward 1.0/365.0, entropy 0.05042, value loss 1.74500, policy loss 0.01611, distill_loss -110.30239, time 319.81742 min
Updates 44070, num timesteps 7051360, FPS 367, mean/median reward 169.8/135.0, min/max reward 1.0/365.0, entropy 0.01597, value loss 1.51088, policy loss -0.00117, distill_loss -124.67995, time 319.88843 min
Updates 44080, num timesteps 7052960, FPS 367, mean/median reward 159.2/135.0, min/max reward 1.0/400.0, entropy 0.03348, value loss 26.51750, policy loss -0.02184, distill_loss -142.71884, time 319.95869 min
Updates 44090, num timesteps 7054560, FPS 367, mean/median reward 158.6/134.0, min/max reward 1.0/400.0, entropy 0.05285, value loss 2.76144, policy loss 0.01283, distill_loss -117.84029, time 320.02824 min
Updates 44100, num timesteps 7056160, FPS 367, mean/median reward 162.5/134.0, min/max reward 1.0/400.0, entropy 0.04259, value loss 10.12053, policy loss -0.00638, distill_loss -118.86674, time 320.09713 min
Updates 44110, num timesteps 7057760, FPS 367, mean/median reward 178.1/136.0, min/max reward 1.0/400.0, entropy 0.04067, value loss 2.47567, policy loss -0.00970, distill_loss -120.98473, time 320.17202 min
Updates 44120, num timesteps 7059360, FPS 367, mean/median reward 182.7/136.0, min/max reward 1.0/400.0, entropy 0.02952, value loss 51.74824, policy loss 0.01261, distill_loss -129.14731, time 320.24141 min
Updates 44130, num timesteps 7060960, FPS 367, mean/median reward 178.7/136.0, min/max reward 1.0/400.0, entropy 0.06731, value loss 48.40961, policy loss 0.02853, distill_loss -115.91197, time 320.31091 min
Updates 44140, num timesteps 7062560, FPS 367, mean/median reward 168.0/135.0, min/max reward 1.0/453.0, entropy 0.07427, value loss 39.80994, policy loss -0.00577, distill_loss -136.67715, time 320.38183 min
Updates 44150, num timesteps 7064160, FPS 367, mean/median reward 173.1/135.0, min/max reward 1.0/453.0, entropy 0.02246, value loss 5.46797, policy loss -0.01403, distill_loss -118.92709, time 320.45125 min
Updates 44160, num timesteps 7065760, FPS 367, mean/median reward 169.8/134.0, min/max reward 1.0/400.0, entropy 0.05888, value loss 12.04111, policy loss -0.02101, distill_loss -118.92507, time 320.52050 min
Updates 44170, num timesteps 7067360, FPS 367, mean/median reward 189.5/138.0, min/max reward 1.0/400.0, entropy 0.02719, value loss 8.07660, policy loss -0.01118, distill_loss -131.86363, time 320.59016 min
Updates 44180, num timesteps 7068960, FPS 367, mean/median reward 196.6/138.0, min/max reward 1.0/400.0, entropy 0.05759, value loss 3.47811, policy loss -0.00257, distill_loss -130.06764, time 320.65951 min
Updates 44190, num timesteps 7070560, FPS 367, mean/median reward 177.8/132.0, min/max reward 1.0/400.0, entropy 0.04889, value loss 3.38824, policy loss -0.01574, distill_loss -122.86769, time 320.72942 min
Updates 44200, num timesteps 7072160, FPS 367, mean/median reward 162.8/128.0, min/max reward 1.0/418.0, entropy 0.06612, value loss 32.01034, policy loss 0.00146, distill_loss -129.11104, time 320.79959 min
Updates 44210, num timesteps 7073760, FPS 367, mean/median reward 184.5/132.0, min/max reward 1.0/474.0, entropy 0.06028, value loss 34.15340, policy loss 0.00615, distill_loss -117.45737, time 320.87630 min
Updates 44220, num timesteps 7075360, FPS 367, mean/median reward 166.1/120.0, min/max reward 1.0/418.0, entropy 0.05200, value loss 2.65699, policy loss -0.00490, distill_loss -114.31783, time 320.94559 min
Updates 44230, num timesteps 7076960, FPS 367, mean/median reward 170.7/120.0, min/max reward 1.0/445.0, entropy 0.03340, value loss 20.34035, policy loss -0.01381, distill_loss -137.79485, time 321.01520 min
Updates 44240, num timesteps 7078560, FPS 367, mean/median reward 169.9/120.0, min/max reward 1.0/445.0, entropy 0.02138, value loss 11.75131, policy loss 0.03978, distill_loss -127.40547, time 321.08387 min
Updates 44250, num timesteps 7080160, FPS 367, mean/median reward 190.6/132.0, min/max reward 4.0/445.0, entropy 0.06058, value loss 10.61207, policy loss -0.02310, distill_loss -120.30570, time 321.15365 min
Updates 44260, num timesteps 7081760, FPS 367, mean/median reward 203.5/138.0, min/max reward 4.0/445.0, entropy 0.05493, value loss 18.76461, policy loss 0.14504, distill_loss -126.51204, time 321.22349 min
Updates 44270, num timesteps 7083360, FPS 367, mean/median reward 208.4/138.0, min/max reward 4.0/445.0, entropy 0.01516, value loss 5.45426, policy loss -0.00617, distill_loss -151.80440, time 321.29317 min
Updates 44280, num timesteps 7084960, FPS 367, mean/median reward 219.2/148.0, min/max reward 10.0/445.0, entropy 0.03597, value loss 2.22754, policy loss 0.00854, distill_loss -135.41403, time 321.36286 min
Updates 44290, num timesteps 7086560, FPS 367, mean/median reward 211.7/140.0, min/max reward 10.0/445.0, entropy 0.02640, value loss 3.99879, policy loss 0.02599, distill_loss -121.46727, time 321.43315 min
Updates 44300, num timesteps 7088160, FPS 367, mean/median reward 202.9/138.0, min/max reward 10.0/445.0, entropy 0.05797, value loss 64.90758, policy loss -0.06082, distill_loss -122.13627, time 321.50251 min
Updates 44310, num timesteps 7089760, FPS 367, mean/median reward 209.4/140.0, min/max reward 2.0/445.0, entropy 0.02810, value loss 2.74450, policy loss -0.00937, distill_loss -124.32694, time 321.57676 min
Updates 44320, num timesteps 7091360, FPS 367, mean/median reward 217.2/140.0, min/max reward 2.0/445.0, entropy 0.04674, value loss 102.77169, policy loss -0.13841, distill_loss -151.92233, time 321.64570 min
Updates 44330, num timesteps 7092960, FPS 367, mean/median reward 208.2/140.0, min/max reward 2.0/445.0, entropy 0.05432, value loss 27.82454, policy loss -0.02544, distill_loss -128.81992, time 321.71445 min
Updates 44340, num timesteps 7094560, FPS 367, mean/median reward 207.5/140.0, min/max reward 2.0/445.0, entropy 0.02168, value loss 5.83879, policy loss 0.05891, distill_loss -135.87733, time 321.78321 min
Updates 44350, num timesteps 7096160, FPS 367, mean/median reward 206.5/138.0, min/max reward 2.0/400.0, entropy 0.08841, value loss 48.90766, policy loss -0.07635, distill_loss -133.65242, time 321.85166 min
Updates 44360, num timesteps 7097760, FPS 367, mean/median reward 233.9/204.0, min/max reward 59.0/445.0, entropy 0.04305, value loss 6.28038, policy loss -0.00093, distill_loss -124.21999, time 321.92142 min
Updates 44370, num timesteps 7099360, FPS 367, mean/median reward 229.0/204.0, min/max reward 59.0/445.0, entropy 0.03175, value loss 33.31058, policy loss -0.06843, distill_loss -113.86760, time 321.99031 min
Updates 44380, num timesteps 7100960, FPS 367, mean/median reward 214.8/189.0, min/max reward 5.0/445.0, entropy 0.06472, value loss 4.00447, policy loss 0.01089, distill_loss -128.49992, time 322.05899 min
Updates 44390, num timesteps 7102560, FPS 367, mean/median reward 208.7/148.0, min/max reward 4.0/482.0, entropy 0.02483, value loss 3.87075, policy loss -0.01611, distill_loss -121.38161, time 322.12736 min
Updates 44400, num timesteps 7104160, FPS 367, mean/median reward 216.2/189.0, min/max reward 4.0/482.0, entropy 0.03700, value loss 5.51242, policy loss -0.00124, distill_loss -137.47905, time 322.19535 min
Updates 44410, num timesteps 7105760, FPS 367, mean/median reward 202.1/138.0, min/max reward 5.0/482.0, entropy 0.03376, value loss 7.16516, policy loss -0.06802, distill_loss -153.06984, time 322.27087 min
Updates 44420, num timesteps 7107360, FPS 367, mean/median reward 223.2/204.0, min/max reward 5.0/482.0, entropy 0.02364, value loss 10.25498, policy loss -0.02182, distill_loss -142.72603, time 322.33950 min
Updates 44430, num timesteps 7108960, FPS 367, mean/median reward 223.3/204.0, min/max reward 5.0/482.0, entropy 0.03130, value loss 13.34280, policy loss -0.00679, distill_loss -147.01640, time 322.40804 min
Updates 44440, num timesteps 7110560, FPS 367, mean/median reward 218.3/221.0, min/max reward 5.0/482.0, entropy 0.03524, value loss 85.65246, policy loss -0.02117, distill_loss -112.23468, time 322.47702 min
Updates 44450, num timesteps 7112160, FPS 367, mean/median reward 211.6/204.0, min/max reward 5.0/482.0, entropy 0.02473, value loss 24.34189, policy loss 0.01383, distill_loss -129.73738, time 322.54685 min
Updates 44460, num timesteps 7113760, FPS 367, mean/median reward 210.4/204.0, min/max reward 5.0/482.0, entropy 0.02813, value loss 38.62124, policy loss 0.03710, distill_loss -145.45320, time 322.61603 min
Updates 44470, num timesteps 7115360, FPS 367, mean/median reward 216.8/166.0, min/max reward 5.0/482.0, entropy 0.03852, value loss 90.21349, policy loss -0.00362, distill_loss -157.11682, time 322.68591 min
Updates 44480, num timesteps 7116960, FPS 367, mean/median reward 207.1/139.0, min/max reward 6.0/482.0, entropy 0.04508, value loss 7.00774, policy loss -0.03822, distill_loss -142.39584, time 322.75603 min
Updates 44490, num timesteps 7118560, FPS 367, mean/median reward 201.8/135.0, min/max reward 6.0/482.0, entropy 0.03763, value loss 11.22606, policy loss -0.02827, distill_loss -143.89052, time 322.82490 min
Updates 44500, num timesteps 7120160, FPS 367, mean/median reward 189.4/133.0, min/max reward 6.0/482.0, entropy 0.04560, value loss 12.26942, policy loss -0.03551, distill_loss -140.87544, time 322.89393 min
Updates 44510, num timesteps 7121760, FPS 367, mean/median reward 189.2/135.0, min/max reward 6.0/482.0, entropy 0.03012, value loss 52.88869, policy loss 0.01337, distill_loss -131.70459, time 322.96860 min
Updates 44520, num timesteps 7123360, FPS 367, mean/median reward 196.0/138.0, min/max reward 6.0/482.0, entropy 0.02661, value loss 1.52924, policy loss 0.01990, distill_loss -140.94955, time 323.03770 min
Updates 44530, num timesteps 7124960, FPS 367, mean/median reward 195.2/139.0, min/max reward 6.0/482.0, entropy 0.02226, value loss 162.01106, policy loss 0.02930, distill_loss -153.93445, time 323.10658 min
Updates 44540, num timesteps 7126560, FPS 367, mean/median reward 170.6/135.0, min/max reward 6.0/400.0, entropy 0.03353, value loss 4.24850, policy loss -0.04661, distill_loss -148.74164, time 323.17610 min
Updates 44550, num timesteps 7128160, FPS 367, mean/median reward 182.3/137.0, min/max reward 6.0/415.0, entropy 0.04481, value loss 9.60213, policy loss -0.04645, distill_loss -134.18411, time 323.24487 min
Updates 44560, num timesteps 7129760, FPS 367, mean/median reward 196.7/151.0, min/max reward 2.0/415.0, entropy 0.03756, value loss 10.45091, policy loss -0.01394, distill_loss -123.58010, time 323.31411 min
Updates 44570, num timesteps 7131360, FPS 367, mean/median reward 186.6/136.0, min/max reward 2.0/400.0, entropy 0.05689, value loss 58.45942, policy loss -0.00321, distill_loss -156.73892, time 323.38336 min
Updates 44580, num timesteps 7132960, FPS 367, mean/median reward 185.4/137.0, min/max reward 2.0/400.0, entropy 0.03642, value loss 2.58649, policy loss 0.01474, distill_loss -135.23599, time 323.45264 min
Updates 44590, num timesteps 7134560, FPS 367, mean/median reward 191.0/137.0, min/max reward 39.0/400.0, entropy 0.05130, value loss 2.52808, policy loss -0.00966, distill_loss -108.54320, time 323.52167 min
Updates 44600, num timesteps 7136160, FPS 367, mean/median reward 179.1/135.0, min/max reward 39.0/400.0, entropy 0.03528, value loss 2.96028, policy loss -0.07577, distill_loss -140.78677, time 323.59045 min
Updates 44610, num timesteps 7137760, FPS 367, mean/median reward 177.0/135.0, min/max reward 53.0/400.0, entropy 0.07052, value loss 10.26466, policy loss 0.01619, distill_loss -135.08949, time 323.66424 min
