command line args: main.py --algo i2a --env-name MsPacmanNoFrameskip-v0 --num-processes 30 --port 5557 --log-dir /tmp/i2a/MsPacman_dSSM_DET_5rollouts --i2a-rollout-steps 5 --num-steps 10 --entropy-coef 0.02 --distill-coef 10 --num-stack 4 --num-frames 300000000 --train-on-200x160-pixel --latent-space-model dSSM_DET
Updates 0, num timesteps 300, FPS 59, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19722, value loss 0.00122, policy loss -0.00441, distill_loss -0.00355, time 0.08345 min
Updates 8820, num timesteps 2646300, FPS 66, mean/median reward 53.9/47.0, min/max reward 18.0/169.0, entropy 1.30206, value loss 1.05364, policy loss 0.21436, distill_loss -65.69807, time 660.44673 min
Updates 8830, num timesteps 2649300, FPS 66, mean/median reward 54.8/50.0, min/max reward 18.0/169.0, entropy 1.27297, value loss 7.31518, policy loss 0.16741, distill_loss -61.45425, time 661.19900 min
Updates 8840, num timesteps 2652300, FPS 66, mean/median reward 57.1/52.0, min/max reward 18.0/169.0, entropy 1.36719, value loss 2.40944, policy loss -0.10447, distill_loss -61.58172, time 661.93333 min
Updates 8850, num timesteps 2655300, FPS 66, mean/median reward 59.4/52.0, min/max reward 17.0/169.0, entropy 1.33656, value loss 1.89361, policy loss 0.22487, distill_loss -65.19036, time 662.66860 min
Updates 8860, num timesteps 2658300, FPS 66, mean/median reward 59.8/59.0, min/max reward 17.0/166.0, entropy 1.35681, value loss 7.91705, policy loss 0.68091, distill_loss -70.08884, time 663.41298 min
Updates 8870, num timesteps 2661300, FPS 66, mean/median reward 66.9/59.0, min/max reward 17.0/166.0, entropy 1.25925, value loss 10.51266, policy loss 0.43256, distill_loss -71.07730, time 664.17986 min
Updates 8880, num timesteps 2664300, FPS 66, mean/median reward 62.7/59.0, min/max reward 11.0/166.0, entropy 1.20329, value loss 3.05529, policy loss -0.40295, distill_loss -87.40004, time 664.93543 min
Updates 8890, num timesteps 2667300, FPS 66, mean/median reward 63.1/59.0, min/max reward 1.0/166.0, entropy 0.98090, value loss 2.92957, policy loss 0.41494, distill_loss -70.53279, time 665.68755 min
Updates 8900, num timesteps 2670300, FPS 66, mean/median reward 63.1/59.0, min/max reward 1.0/166.0, entropy 1.05002, value loss 25.07071, policy loss 0.25136, distill_loss -98.15604, time 666.43905 min
Updates 8910, num timesteps 2673300, FPS 66, mean/median reward 61.9/50.0, min/max reward 1.0/166.0, entropy 1.22037, value loss 30.65840, policy loss 0.11600, distill_loss -65.93353, time 667.16905 min
Updates 8920, num timesteps 2676300, FPS 66, mean/median reward 67.3/59.0, min/max reward 1.0/166.0, entropy 1.26410, value loss 3.82455, policy loss -0.15893, distill_loss -68.73640, time 667.89912 min
Updates 8930, num timesteps 2679300, FPS 66, mean/median reward 69.4/60.0, min/max reward 1.0/137.0, entropy 1.17294, value loss 5.94588, policy loss -0.34976, distill_loss -74.79304, time 668.63191 min
Updates 8940, num timesteps 2682300, FPS 66, mean/median reward 75.0/78.0, min/max reward 1.0/129.0, entropy 1.15752, value loss 9.19931, policy loss -0.02710, distill_loss -76.57774, time 669.38701 min
Updates 8950, num timesteps 2685300, FPS 66, mean/median reward 79.8/81.0, min/max reward 1.0/131.0, entropy 0.91849, value loss 8.91022, policy loss 0.11000, distill_loss -86.93605, time 670.15209 min
Updates 8960, num timesteps 2688300, FPS 66, mean/median reward 86.1/83.0, min/max reward 33.0/152.0, entropy 0.90011, value loss 3.16487, policy loss 0.22024, distill_loss -87.66801, time 670.90677 min
Updates 8970, num timesteps 2691300, FPS 66, mean/median reward 88.1/87.0, min/max reward 33.0/152.0, entropy 1.15769, value loss 5.47774, policy loss -0.15164, distill_loss -76.91426, time 671.65556 min
Updates 8980, num timesteps 2694300, FPS 66, mean/median reward 92.9/88.0, min/max reward 33.0/152.0, entropy 1.21177, value loss 1.73466, policy loss 0.22140, distill_loss -72.07127, time 672.40225 min
Updates 8990, num timesteps 2697300, FPS 66, mean/median reward 92.7/88.0, min/max reward 49.0/152.0, entropy 1.31774, value loss 2.82728, policy loss -0.00802, distill_loss -55.03642, time 673.13546 min
Updates 9000, num timesteps 2700300, FPS 66, mean/median reward 91.2/89.0, min/max reward 10.0/152.0, entropy 1.07293, value loss 7.44090, policy loss 0.38586, distill_loss -61.11756, time 673.87198 min
Updates 9010, num timesteps 2703300, FPS 66, mean/median reward 93.5/89.0, min/max reward 10.0/195.0, entropy 0.94992, value loss 2.11728, policy loss -0.01030, distill_loss -74.55143, time 674.63339 min
Updates 9020, num timesteps 2706300, FPS 66, mean/median reward 87.8/88.0, min/max reward 6.0/195.0, entropy 1.17457, value loss 6.19027, policy loss 0.18501, distill_loss -71.84577, time 675.39112 min
Updates 9030, num timesteps 2709300, FPS 66, mean/median reward 82.1/78.0, min/max reward 6.0/195.0, entropy 1.12791, value loss 9.69961, policy loss 0.60976, distill_loss -83.08872, time 676.15503 min
Updates 9040, num timesteps 2712300, FPS 66, mean/median reward 82.4/74.0, min/max reward 6.0/195.0, entropy 1.20157, value loss 2.76812, policy loss -0.11460, distill_loss -80.06257, time 676.91079 min
Updates 9050, num timesteps 2715300, FPS 66, mean/median reward 75.8/68.0, min/max reward 6.0/195.0, entropy 1.07945, value loss 2.98851, policy loss 0.57605, distill_loss -64.85806, time 677.67042 min
Updates 9060, num timesteps 2718300, FPS 66, mean/median reward 72.1/68.0, min/max reward 6.0/181.0, entropy 1.08212, value loss 5.82707, policy loss -0.20542, distill_loss -71.72923, time 678.42826 min
Updates 9070, num timesteps 2721300, FPS 66, mean/median reward 68.2/67.0, min/max reward 6.0/181.0, entropy 0.85595, value loss 3.67882, policy loss -0.04591, distill_loss -74.08495, time 679.17833 min
Updates 9080, num timesteps 2724300, FPS 66, mean/median reward 71.4/67.0, min/max reward 6.0/181.0, entropy 1.14883, value loss 23.72466, policy loss -0.31286, distill_loss -73.33736, time 679.91899 min
Updates 9090, num timesteps 2727300, FPS 66, mean/median reward 71.8/67.0, min/max reward 11.0/177.0, entropy 1.11808, value loss 3.23239, policy loss 0.18474, distill_loss -67.26862, time 680.66278 min
Updates 9100, num timesteps 2730300, FPS 66, mean/median reward 69.4/67.0, min/max reward 11.0/155.0, entropy 1.28500, value loss 6.55728, policy loss 0.54717, distill_loss -65.69011, time 681.42928 min
Updates 9110, num timesteps 2733300, FPS 66, mean/median reward 74.2/68.0, min/max reward 11.0/198.0, entropy 1.04337, value loss 5.40206, policy loss 0.40253, distill_loss -63.30402, time 682.20064 min
Updates 9120, num timesteps 2736300, FPS 66, mean/median reward 78.0/68.0, min/max reward 27.0/198.0, entropy 1.27791, value loss 1.93384, policy loss -0.44692, distill_loss -59.52888, time 682.94596 min
Updates 9130, num timesteps 2739300, FPS 66, mean/median reward 84.8/69.0, min/max reward 31.0/198.0, entropy 1.28083, value loss 9.67240, policy loss -0.25423, distill_loss -71.55188, time 683.69444 min
Updates 9140, num timesteps 2742300, FPS 66, mean/median reward 87.5/76.0, min/max reward 31.0/198.0, entropy 1.06631, value loss 46.34432, policy loss 0.45496, distill_loss -82.57302, time 684.43686 min
Updates 9150, num timesteps 2745300, FPS 66, mean/median reward 89.7/81.0, min/max reward 31.0/198.0, entropy 1.11259, value loss 14.91217, policy loss 1.01042, distill_loss -93.73615, time 685.19404 min
Updates 9160, num timesteps 2748300, FPS 66, mean/median reward 85.2/81.0, min/max reward 31.0/175.0, entropy 1.12710, value loss 4.23674, policy loss -0.34375, distill_loss -77.49299, time 685.94463 min
Updates 9170, num timesteps 2751300, FPS 66, mean/median reward 85.3/81.0, min/max reward 35.0/175.0, entropy 1.44205, value loss 2.78698, policy loss 0.28672, distill_loss -54.87378, time 686.69583 min
Updates 9180, num timesteps 2754300, FPS 66, mean/median reward 83.7/81.0, min/max reward 35.0/175.0, entropy 1.43196, value loss 3.28241, policy loss 0.29182, distill_loss -44.08844, time 687.44989 min
Updates 9190, num timesteps 2757300, FPS 66, mean/median reward 83.2/81.0, min/max reward -7.0/175.0, entropy 1.24409, value loss 3.43032, policy loss -0.02029, distill_loss -70.03367, time 688.21258 min
Updates 9200, num timesteps 2760300, FPS 66, mean/median reward 82.7/90.0, min/max reward -7.0/156.0, entropy 1.14365, value loss 3.62819, policy loss -0.68873, distill_loss -69.65620, time 688.96267 min
Updates 9210, num timesteps 2763300, FPS 66, mean/median reward 79.8/74.0, min/max reward -7.0/156.0, entropy 1.31646, value loss 4.80465, policy loss 0.05033, distill_loss -58.08572, time 689.72657 min
Updates 9220, num timesteps 2766300, FPS 66, mean/median reward 75.1/74.0, min/max reward -7.0/166.0, entropy 1.13699, value loss 16.10749, policy loss -0.27260, distill_loss -82.01602, time 690.48823 min
Updates 9230, num timesteps 2769300, FPS 66, mean/median reward 73.7/70.0, min/max reward -2.0/166.0, entropy 0.89069, value loss 42.04457, policy loss -0.40352, distill_loss -120.96475, time 691.26115 min
Updates 9240, num timesteps 2772300, FPS 66, mean/median reward 66.0/58.0, min/max reward -2.0/166.0, entropy 1.04316, value loss 46.37491, policy loss -0.03450, distill_loss -94.67192, time 692.03092 min
Updates 9250, num timesteps 2775300, FPS 66, mean/median reward 65.1/58.0, min/max reward -2.0/166.0, entropy 1.10543, value loss 9.44565, policy loss -0.86829, distill_loss -79.56081, time 692.78580 min
Updates 9260, num timesteps 2778300, FPS 66, mean/median reward 63.4/50.0, min/max reward -2.0/210.0, entropy 1.21947, value loss 72.26197, policy loss 1.60129, distill_loss -57.63414, time 693.52738 min
Updates 9270, num timesteps 2781300, FPS 66, mean/median reward 60.1/47.0, min/max reward -2.0/210.0, entropy 0.92045, value loss 22.23079, policy loss -0.00848, distill_loss -83.05141, time 694.29017 min
Updates 9280, num timesteps 2784300, FPS 66, mean/median reward 64.8/50.0, min/max reward -2.0/210.0, entropy 0.80350, value loss 5.34623, policy loss 0.21571, distill_loss -88.51872, time 695.07205 min
Updates 9290, num timesteps 2787300, FPS 66, mean/median reward 69.5/47.0, min/max reward 3.0/249.0, entropy 0.52180, value loss 16.16806, policy loss 0.43338, distill_loss -91.83393, time 695.83632 min
Updates 9300, num timesteps 2790300, FPS 66, mean/median reward 72.9/50.0, min/max reward 3.0/249.0, entropy 0.63902, value loss 6.96185, policy loss 0.16434, distill_loss -113.34803, time 696.62284 min
Updates 9310, num timesteps 2793300, FPS 66, mean/median reward 73.0/50.0, min/max reward 3.0/249.0, entropy 0.54326, value loss 14.78527, policy loss -0.01192, distill_loss -142.35919, time 697.40780 min
Updates 9320, num timesteps 2796300, FPS 66, mean/median reward 75.3/58.0, min/max reward 3.0/249.0, entropy 1.05899, value loss 2.26474, policy loss 0.29334, distill_loss -52.13731, time 698.16527 min
Updates 9330, num timesteps 2799300, FPS 66, mean/median reward 82.6/65.0, min/max reward 3.0/258.0, entropy 0.98420, value loss 4.79363, policy loss 0.26054, distill_loss -71.33501, time 698.90039 min
Updates 9340, num timesteps 2802300, FPS 66, mean/median reward 93.3/83.0, min/max reward 7.0/258.0, entropy 1.04326, value loss 1.41257, policy loss -0.15234, distill_loss -70.16251, time 699.65448 min
Updates 9350, num timesteps 2805300, FPS 66, mean/median reward 102.9/106.0, min/max reward 9.0/258.0, entropy 1.19087, value loss 2.03408, policy loss -0.06040, distill_loss -88.07136, time 700.42545 min
Updates 9360, num timesteps 2808300, FPS 66, mean/median reward 105.6/112.0, min/max reward 20.0/258.0, entropy 0.97902, value loss 58.02048, policy loss 1.69069, distill_loss -100.10878, time 701.18900 min
Updates 9370, num timesteps 2811300, FPS 66, mean/median reward 112.4/114.0, min/max reward 20.0/258.0, entropy 1.06430, value loss 34.68269, policy loss 0.57080, distill_loss -103.78202, time 701.96125 min
Updates 9380, num timesteps 2814300, FPS 66, mean/median reward 112.4/114.0, min/max reward 20.0/258.0, entropy 1.08025, value loss 12.83702, policy loss 0.35828, distill_loss -91.26147, time 702.72569 min
Updates 9390, num timesteps 2817300, FPS 66, mean/median reward 109.7/114.0, min/max reward 20.0/258.0, entropy 1.07568, value loss 4.23520, policy loss -0.24577, distill_loss -87.69640, time 703.48741 min
Updates 9400, num timesteps 2820300, FPS 66, mean/median reward 103.0/112.0, min/max reward 20.0/171.0, entropy 0.97614, value loss 8.54079, policy loss -0.22802, distill_loss -105.77827, time 704.26330 min
Updates 9410, num timesteps 2823300, FPS 66, mean/median reward 100.3/112.0, min/max reward 20.0/171.0, entropy 0.94679, value loss 6.44942, policy loss -0.88983, distill_loss -109.65697, time 705.04501 min
Updates 9420, num timesteps 2826300, FPS 66, mean/median reward 103.1/96.0, min/max reward 24.0/179.0, entropy 1.17909, value loss 11.54513, policy loss 0.07689, distill_loss -86.28317, time 705.80517 min
Updates 9430, num timesteps 2829300, FPS 66, mean/median reward 103.7/106.0, min/max reward 24.0/179.0, entropy 1.13292, value loss 8.64273, policy loss 0.33033, distill_loss -83.24633, time 706.55064 min
Updates 9440, num timesteps 2832300, FPS 66, mean/median reward 106.8/114.0, min/max reward 24.0/179.0, entropy 1.02462, value loss 3.33558, policy loss -0.15447, distill_loss -104.12286, time 707.30803 min
Updates 9450, num timesteps 2835300, FPS 66, mean/median reward 104.8/116.0, min/max reward 20.0/188.0, entropy 0.94446, value loss 6.10705, policy loss -0.17697, distill_loss -94.64827, time 708.07682 min
Updates 9460, num timesteps 2838300, FPS 66, mean/median reward 102.5/106.0, min/max reward 20.0/188.0, entropy 1.10936, value loss 5.25478, policy loss 0.35509, distill_loss -94.18375, time 708.83725 min
Updates 9470, num timesteps 2841300, FPS 66, mean/median reward 104.4/101.0, min/max reward 20.0/188.0, entropy 0.98197, value loss 5.63915, policy loss 0.09362, distill_loss -80.48150, time 709.60168 min
Updates 9480, num timesteps 2844300, FPS 66, mean/median reward 101.9/96.0, min/max reward 20.0/188.0, entropy 0.86852, value loss 4.45736, policy loss 0.23111, distill_loss -92.56599, time 710.37167 min
Updates 9490, num timesteps 2847300, FPS 66, mean/median reward 107.1/101.0, min/max reward 20.0/264.0, entropy 1.15852, value loss 8.29477, policy loss 0.31947, distill_loss -72.26161, time 711.15772 min
Updates 9500, num timesteps 2850300, FPS 66, mean/median reward 106.2/89.0, min/max reward 20.0/264.0, entropy 1.15220, value loss 3.98211, policy loss 0.38097, distill_loss -66.40379, time 711.92355 min
Updates 9510, num timesteps 2853300, FPS 66, mean/median reward 107.7/87.0, min/max reward 20.0/264.0, entropy 1.08519, value loss 69.32238, policy loss 1.91677, distill_loss -67.72344, time 712.68956 min
Updates 9520, num timesteps 2856300, FPS 66, mean/median reward 107.9/87.0, min/max reward 20.0/264.0, entropy 1.04575, value loss 4.46485, policy loss -0.35484, distill_loss -67.26332, time 713.49846 min
Updates 9530, num timesteps 2859300, FPS 66, mean/median reward 102.9/78.0, min/max reward 52.0/264.0, entropy 1.06470, value loss 2.53696, policy loss -0.35763, distill_loss -74.30733, time 714.26075 min
Updates 9540, num timesteps 2862300, FPS 66, mean/median reward 104.7/79.0, min/max reward 53.0/264.0, entropy 1.04154, value loss 3.95269, policy loss 0.17875, distill_loss -78.82165, time 715.02470 min
Updates 9550, num timesteps 2865300, FPS 66, mean/median reward 104.1/82.0, min/max reward -1.0/264.0, entropy 1.38289, value loss 3.96639, policy loss 0.33771, distill_loss -68.55444, time 715.81114 min
Updates 9560, num timesteps 2868300, FPS 66, mean/median reward 103.0/82.0, min/max reward -1.0/264.0, entropy 0.78000, value loss 7.88369, policy loss -0.57008, distill_loss -113.50973, time 716.57877 min
Updates 9570, num timesteps 2871300, FPS 66, mean/median reward 109.3/97.0, min/max reward -1.0/264.0, entropy 1.09870, value loss 6.15613, policy loss -0.71794, distill_loss -84.10710, time 717.33293 min
Updates 9580, num timesteps 2874300, FPS 66, mean/median reward 100.5/83.0, min/max reward -1.0/264.0, entropy 1.09137, value loss 5.29073, policy loss 0.20075, distill_loss -85.65805, time 718.11599 min
Updates 9590, num timesteps 2877300, FPS 66, mean/median reward 94.4/80.0, min/max reward -1.0/234.0, entropy 1.02760, value loss 12.38389, policy loss 0.10296, distill_loss -77.92488, time 718.89635 min
Updates 9600, num timesteps 2880300, FPS 66, mean/median reward 82.8/75.0, min/max reward -1.0/157.0, entropy 1.02769, value loss 33.24767, policy loss 1.65374, distill_loss -99.42444, time 719.67928 min
Updates 9610, num timesteps 2883300, FPS 66, mean/median reward 85.2/80.0, min/max reward -1.0/157.0, entropy 0.97216, value loss 13.00937, policy loss 0.20453, distill_loss -89.49764, time 720.47070 min
Updates 9620, num timesteps 2886300, FPS 66, mean/median reward 89.7/83.0, min/max reward -1.0/167.0, entropy 0.81070, value loss 10.06235, policy loss 0.14955, distill_loss -111.51240, time 721.24581 min
Updates 9630, num timesteps 2889300, FPS 66, mean/median reward 91.0/80.0, min/max reward -1.0/192.0, entropy 0.99499, value loss 20.40308, policy loss 0.88450, distill_loss -88.29688, time 722.01022 min
Updates 9640, num timesteps 2892300, FPS 66, mean/median reward 87.8/69.0, min/max reward 18.0/192.0, entropy 0.94404, value loss 43.15303, policy loss 0.70878, distill_loss -84.26802, time 722.79751 min
Updates 9650, num timesteps 2895300, FPS 66, mean/median reward 87.4/69.0, min/max reward 18.0/192.0, entropy 1.06721, value loss 34.28444, policy loss -1.09326, distill_loss -75.42892, time 723.56262 min
Updates 9660, num timesteps 2898300, FPS 66, mean/median reward 92.0/69.0, min/max reward 24.0/192.0, entropy 1.17659, value loss 6.93235, policy loss 0.54953, distill_loss -69.75994, time 724.32264 min
Updates 9670, num timesteps 2901300, FPS 66, mean/median reward 104.8/90.0, min/max reward 24.0/208.0, entropy 0.89519, value loss 16.89095, policy loss 0.04258, distill_loss -90.64713, time 725.10535 min
Updates 9680, num timesteps 2904300, FPS 66, mean/median reward 108.9/90.0, min/max reward 46.0/213.0, entropy 0.99543, value loss 4.01379, policy loss -0.25354, distill_loss -79.76493, time 725.88887 min
Updates 9690, num timesteps 2907300, FPS 66, mean/median reward 106.3/90.0, min/max reward 46.0/213.0, entropy 1.01634, value loss 5.26205, policy loss 0.61470, distill_loss -80.18968, time 726.65675 min
Updates 9700, num timesteps 2910300, FPS 66, mean/median reward 109.2/93.0, min/max reward 46.0/213.0, entropy 1.04142, value loss 13.11167, policy loss 1.00877, distill_loss -71.11590, time 727.42456 min
Updates 9710, num timesteps 2913300, FPS 66, mean/median reward 114.1/108.0, min/max reward 46.0/213.0, entropy 1.06634, value loss 5.43860, policy loss -1.16940, distill_loss -69.74496, time 728.17373 min
Updates 9720, num timesteps 2916300, FPS 66, mean/median reward 113.7/108.0, min/max reward 35.0/213.0, entropy 1.14997, value loss 2.88317, policy loss -0.11656, distill_loss -64.01476, time 728.92690 min
Updates 9730, num timesteps 2919300, FPS 66, mean/median reward 116.5/108.0, min/max reward 35.0/223.0, entropy 0.87887, value loss 13.25512, policy loss 0.49808, distill_loss -86.62997, time 729.68849 min
Updates 9740, num timesteps 2922300, FPS 66, mean/median reward 113.6/108.0, min/max reward 35.0/223.0, entropy 1.09934, value loss 3.05383, policy loss 0.29559, distill_loss -80.69147, time 730.48408 min
Updates 9750, num timesteps 2925300, FPS 66, mean/median reward 118.2/107.0, min/max reward 35.0/272.0, entropy 1.21169, value loss 5.19254, policy loss -0.21095, distill_loss -68.51747, time 731.24192 min
Updates 9760, num timesteps 2928300, FPS 66, mean/median reward 114.6/107.0, min/max reward 35.0/272.0, entropy 1.04001, value loss 3.00117, policy loss 0.09203, distill_loss -79.18104, time 732.00180 min
Updates 9770, num timesteps 2931300, FPS 66, mean/median reward 121.2/121.0, min/max reward 35.0/272.0, entropy 1.18962, value loss 6.46686, policy loss 0.12120, distill_loss -100.85623, time 732.75315 min
Updates 9780, num timesteps 2934300, FPS 66, mean/median reward 120.0/113.0, min/max reward 35.0/272.0, entropy 1.29957, value loss 5.71163, policy loss -0.68181, distill_loss -52.35553, time 733.51685 min
Updates 9790, num timesteps 2937300, FPS 66, mean/median reward 116.6/113.0, min/max reward 4.0/272.0, entropy 1.17386, value loss 8.31011, policy loss 0.66303, distill_loss -62.60339, time 734.27044 min
Updates 9800, num timesteps 2940300, FPS 66, mean/median reward 117.7/120.0, min/max reward 4.0/272.0, entropy 1.07893, value loss 4.37995, policy loss -0.40843, distill_loss -84.20466, time 735.04027 min
Updates 9810, num timesteps 2943300, FPS 66, mean/median reward 117.9/116.0, min/max reward 4.0/272.0, entropy 1.06422, value loss 1.97141, policy loss 0.09467, distill_loss -84.61333, time 735.80703 min
Updates 9820, num timesteps 2946300, FPS 66, mean/median reward 114.1/96.0, min/max reward 4.0/272.0, entropy 1.03461, value loss 17.41515, policy loss 0.55956, distill_loss -95.12895, time 736.54503 min
Updates 9830, num timesteps 2949300, FPS 66, mean/median reward 111.7/109.0, min/max reward 4.0/272.0, entropy 1.03491, value loss 31.93447, policy loss 0.60204, distill_loss -81.20642, time 737.28274 min
Updates 9840, num timesteps 2952300, FPS 66, mean/median reward 105.5/96.0, min/max reward 4.0/209.0, entropy 0.75401, value loss 3.61827, policy loss -0.10777, distill_loss -119.26447, time 738.05218 min
Updates 9850, num timesteps 2955300, FPS 66, mean/median reward 97.6/89.0, min/max reward 4.0/209.0, entropy 1.01429, value loss 5.36551, policy loss 0.07203, distill_loss -87.57723, time 738.80354 min
Updates 9860, num timesteps 2958300, FPS 66, mean/median reward 91.3/87.0, min/max reward 4.0/209.0, entropy 0.89826, value loss 5.07420, policy loss -0.39340, distill_loss -95.86255, time 739.55215 min
Updates 9870, num timesteps 2961300, FPS 66, mean/median reward 92.9/86.0, min/max reward 4.0/209.0, entropy 0.97510, value loss 4.27959, policy loss -0.12594, distill_loss -85.89365, time 740.29259 min
Updates 9880, num timesteps 2964300, FPS 66, mean/median reward 94.1/87.0, min/max reward 4.0/209.0, entropy 0.91768, value loss 3.16156, policy loss 0.07797, distill_loss -75.66116, time 741.05893 min
Updates 9890, num timesteps 2967300, FPS 66, mean/median reward 91.9/83.0, min/max reward 4.0/209.0, entropy 1.11199, value loss 13.74673, policy loss 1.56196, distill_loss -88.48706, time 741.83809 min
Updates 9900, num timesteps 2970300, FPS 66, mean/median reward 88.0/82.0, min/max reward 4.0/168.0, entropy 1.11651, value loss 7.82522, policy loss -0.86752, distill_loss -115.55936, time 742.62112 min
Updates 9910, num timesteps 2973300, FPS 66, mean/median reward 89.0/83.0, min/max reward 4.0/168.0, entropy 1.10780, value loss 6.78998, policy loss 0.78449, distill_loss -89.54126, time 743.38463 min
Updates 9920, num timesteps 2976300, FPS 66, mean/median reward 87.5/83.0, min/max reward 4.0/168.0, entropy 1.12954, value loss 6.40275, policy loss 0.12121, distill_loss -92.29819, time 744.15097 min
Updates 9930, num timesteps 2979300, FPS 66, mean/median reward 94.9/90.0, min/max reward 4.0/182.0, entropy 1.07617, value loss 3.90544, policy loss -0.00529, distill_loss -88.55392, time 744.92294 min
Updates 9940, num timesteps 2982300, FPS 66, mean/median reward 97.2/98.0, min/max reward 4.0/182.0, entropy 1.08054, value loss 4.99789, policy loss -0.37172, distill_loss -108.21893, time 745.67251 min
Updates 9950, num timesteps 2985300, FPS 66, mean/median reward 94.2/98.0, min/max reward 4.0/182.0, entropy 1.33335, value loss 8.34809, policy loss 0.20304, distill_loss -55.55048, time 746.41311 min
Updates 9960, num timesteps 2988300, FPS 66, mean/median reward 88.9/98.0, min/max reward 4.0/182.0, entropy 1.20823, value loss 5.59910, policy loss -0.03085, distill_loss -81.52064, time 747.16432 min
Updates 9970, num timesteps 2991300, FPS 66, mean/median reward 97.3/98.0, min/max reward 5.0/182.0, entropy 1.02899, value loss 5.04473, policy loss -0.08455, distill_loss -100.28973, time 747.91745 min
Updates 9980, num timesteps 2994300, FPS 66, mean/median reward 94.5/88.0, min/max reward 5.0/182.0, entropy 0.98236, value loss 56.03791, policy loss 1.97771, distill_loss -113.13651, time 748.67670 min
Updates 9990, num timesteps 2997300, FPS 66, mean/median reward 97.6/98.0, min/max reward 5.0/182.0, entropy 0.99649, value loss 9.40141, policy loss 0.06560, distill_loss -95.90067, time 749.44031 min
Updates 10000, num timesteps 3000300, FPS 66, mean/median reward 94.3/94.0, min/max reward 5.0/177.0, entropy 0.78522, value loss 5.67585, policy loss -0.03422, distill_loss -117.38565, time 750.21546 min
Updates 10010, num timesteps 3003300, FPS 66, mean/median reward 103.7/94.0, min/max reward 5.0/328.0, entropy 0.74668, value loss 46.62962, policy loss 1.38296, distill_loss -111.03855, time 751.01901 min
Updates 10020, num timesteps 3006300, FPS 66, mean/median reward 103.7/94.0, min/max reward 5.0/328.0, entropy 0.77080, value loss 551.63422, policy loss 0.41306, distill_loss -145.20935, time 751.78066 min
Updates 10030, num timesteps 3009300, FPS 66, mean/median reward 102.3/88.0, min/max reward 5.0/328.0, entropy 1.25819, value loss 6.93763, policy loss -0.10229, distill_loss -74.86085, time 752.52239 min
Updates 10040, num timesteps 3012300, FPS 66, mean/median reward 104.8/88.0, min/max reward 5.0/328.0, entropy 1.30022, value loss 8.06814, policy loss -0.12983, distill_loss -72.54978, time 753.27622 min
Updates 10050, num timesteps 3015300, FPS 66, mean/median reward 121.3/101.0, min/max reward 5.0/408.0, entropy 1.12540, value loss 13.29440, policy loss -0.44864, distill_loss -96.13304, time 754.03718 min
Updates 10060, num timesteps 3018300, FPS 66, mean/median reward 133.4/115.0, min/max reward 26.0/408.0, entropy 0.86617, value loss 6.25208, policy loss -0.00025, distill_loss -107.10237, time 754.79021 min
Updates 10070, num timesteps 3021300, FPS 66, mean/median reward 132.0/106.0, min/max reward 26.0/408.0, entropy 0.86046, value loss 9.26476, policy loss 0.01583, distill_loss -115.14700, time 755.54124 min
Updates 10080, num timesteps 3024300, FPS 66, mean/median reward 134.6/115.0, min/max reward 26.0/408.0, entropy 0.96729, value loss 4.97301, policy loss -0.86235, distill_loss -101.76652, time 756.28200 min
Updates 10090, num timesteps 3027300, FPS 66, mean/median reward 134.6/115.0, min/max reward 26.0/408.0, entropy 0.99815, value loss 5.32776, policy loss -0.42902, distill_loss -103.98383, time 757.05798 min
Updates 10100, num timesteps 3030300, FPS 66, mean/median reward 127.1/106.0, min/max reward 26.0/408.0, entropy 1.22636, value loss 2.84598, policy loss -0.05888, distill_loss -57.67460, time 757.82252 min
Updates 10110, num timesteps 3033300, FPS 66, mean/median reward 123.5/105.0, min/max reward 26.0/408.0, entropy 1.21588, value loss 5.80561, policy loss 0.41125, distill_loss -77.46104, time 758.58997 min
Updates 10120, num timesteps 3036300, FPS 66, mean/median reward 124.6/106.0, min/max reward 26.0/408.0, entropy 1.37781, value loss 4.55429, policy loss -0.50755, distill_loss -78.30141, time 759.33705 min
Updates 10130, num timesteps 3039300, FPS 66, mean/median reward 123.8/112.0, min/max reward 26.0/270.0, entropy 0.83480, value loss 4.78658, policy loss -0.32194, distill_loss -136.06898, time 760.06584 min
Updates 10140, num timesteps 3042300, FPS 66, mean/median reward 118.8/103.0, min/max reward 26.0/270.0, entropy 0.72966, value loss 5.42950, policy loss -0.34709, distill_loss -166.49388, time 760.84139 min
Updates 10150, num timesteps 3045300, FPS 66, mean/median reward 127.1/112.0, min/max reward 59.0/275.0, entropy 0.66965, value loss 1.33725, policy loss -0.11419, distill_loss -148.85794, time 761.61082 min
Updates 10160, num timesteps 3048300, FPS 66, mean/median reward 131.9/132.0, min/max reward 59.0/275.0, entropy 0.92376, value loss 1.42362, policy loss -0.24204, distill_loss -80.44641, time 762.36209 min
Updates 10170, num timesteps 3051300, FPS 66, mean/median reward 131.9/132.0, min/max reward 59.0/275.0, entropy 0.87897, value loss 4.82526, policy loss -0.44203, distill_loss -91.79435, time 763.14684 min
Updates 10180, num timesteps 3054300, FPS 66, mean/median reward 131.4/122.0, min/max reward 59.0/275.0, entropy 0.90787, value loss 4.27413, policy loss 0.22616, distill_loss -100.55448, time 763.90750 min
