Algo: i2aEnvironment: HuntMiniPacmanNoFrameskip-v0
Updates 0, num timesteps 2560, FPS 522, mean/median reward -12.2/-20.0, min/max reward -40.0/0.0, entropy 1.60944, value loss 122.28074, policy loss -9.80785, distill_loss -0.00014, time 0.08172 min
Updates 11120, num timesteps 28469760, FPS 803, mean/median reward -2.2/2.0, min/max reward -20.0/14.0, entropy 1.09083, value loss 0.01104, policy loss 0.00205, distill_loss -0.06227, time 590.21663 min
Updates 11130, num timesteps 28495360, FPS 803, mean/median reward -2.1/2.0, min/max reward -20.0/14.0, entropy 1.07297, value loss 0.03558, policy loss 0.01169, distill_loss -0.08991, time 590.82294 min
Updates 11140, num timesteps 28520960, FPS 803, mean/median reward -2.1/2.0, min/max reward -20.0/14.0, entropy 1.05635, value loss 0.00103, policy loss 0.00600, distill_loss -0.03675, time 591.33051 min
Updates 11150, num timesteps 28546560, FPS 803, mean/median reward -2.2/2.0, min/max reward -20.0/14.0, entropy 1.08542, value loss 0.00474, policy loss 0.00895, distill_loss 0.02121, time 591.83678 min
Updates 11160, num timesteps 28572160, FPS 803, mean/median reward -1.8/2.0, min/max reward -20.0/14.0, entropy 1.07148, value loss 0.65574, policy loss 0.07874, distill_loss -0.09769, time 592.34684 min
Updates 11170, num timesteps 28597760, FPS 803, mean/median reward -1.3/2.0, min/max reward -20.0/14.0, entropy 1.07423, value loss 0.00298, policy loss -0.00529, distill_loss -0.22391, time 592.85524 min
Updates 11180, num timesteps 28623360, FPS 803, mean/median reward -1.3/2.0, min/max reward -20.0/14.0, entropy 1.07399, value loss 0.00214, policy loss 0.00536, distill_loss -0.38856, time 593.36438 min
Updates 11190, num timesteps 28648960, FPS 804, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.03896, value loss 0.00318, policy loss 0.01038, distill_loss 0.03770, time 593.87521 min
Updates 11200, num timesteps 28674560, FPS 804, mean/median reward -1.5/2.0, min/max reward -20.0/14.0, entropy 1.05746, value loss 0.00870, policy loss 0.00972, distill_loss -0.44027, time 594.38586 min
Updates 11210, num timesteps 28700160, FPS 804, mean/median reward -1.4/2.0, min/max reward -20.0/14.0, entropy 1.08778, value loss 0.15267, policy loss -0.01482, distill_loss -0.37062, time 594.89626 min
Updates 11220, num timesteps 28725760, FPS 804, mean/median reward -1.7/2.0, min/max reward -20.0/14.0, entropy 1.10727, value loss 0.30131, policy loss 0.04144, distill_loss -0.23418, time 595.40757 min
Updates 11230, num timesteps 28751360, FPS 804, mean/median reward -1.7/2.0, min/max reward -20.0/14.0, entropy 1.13709, value loss 0.00254, policy loss 0.00684, distill_loss -0.37977, time 595.91930 min
Updates 11240, num timesteps 28776960, FPS 804, mean/median reward -1.3/2.0, min/max reward -20.0/14.0, entropy 1.06567, value loss 0.00280, policy loss -0.00494, distill_loss -0.27717, time 596.43222 min
Updates 11250, num timesteps 28802560, FPS 804, mean/median reward -1.3/2.0, min/max reward -20.0/14.0, entropy 1.09050, value loss 1.31710, policy loss 0.14148, distill_loss -0.23706, time 596.94510 min
Updates 11260, num timesteps 28828160, FPS 804, mean/median reward -0.9/2.0, min/max reward -20.0/14.0, entropy 1.09137, value loss 0.08442, policy loss 0.02388, distill_loss -0.25555, time 597.46185 min
Updates 11270, num timesteps 28853760, FPS 804, mean/median reward -0.6/2.0, min/max reward -20.0/14.0, entropy 1.05849, value loss 0.01442, policy loss 0.00363, distill_loss -0.05440, time 597.97664 min
Updates 11280, num timesteps 28879360, FPS 804, mean/median reward -0.8/2.0, min/max reward -20.0/14.0, entropy 1.09567, value loss 0.00906, policy loss 0.00523, distill_loss -0.05240, time 598.48723 min
Updates 11290, num timesteps 28904960, FPS 804, mean/median reward -0.7/2.0, min/max reward -20.0/14.0, entropy 1.10288, value loss 0.00837, policy loss 0.00121, distill_loss -0.03219, time 598.99492 min
Updates 11300, num timesteps 28930560, FPS 804, mean/median reward -0.9/2.0, min/max reward -20.0/14.0, entropy 1.07806, value loss 1.56949, policy loss -0.12581, distill_loss -0.15461, time 599.50498 min
Updates 11310, num timesteps 28956160, FPS 804, mean/median reward -1.0/2.0, min/max reward -20.0/14.0, entropy 1.05732, value loss 0.34180, policy loss 0.04009, distill_loss -0.09197, time 600.01804 min
Updates 11320, num timesteps 28981760, FPS 804, mean/median reward -1.2/2.0, min/max reward -20.0/14.0, entropy 1.05836, value loss 0.48603, policy loss 0.03640, distill_loss 0.11495, time 600.52425 min
Updates 11330, num timesteps 29007360, FPS 804, mean/median reward -1.4/2.0, min/max reward -20.0/14.0, entropy 1.05695, value loss 0.01946, policy loss 0.02141, distill_loss 0.20890, time 601.03522 min
Updates 11340, num timesteps 29032960, FPS 804, mean/median reward -1.4/2.0, min/max reward -20.0/14.0, entropy 1.08342, value loss 0.27439, policy loss 0.02953, distill_loss -0.03885, time 601.54349 min
Updates 11350, num timesteps 29058560, FPS 804, mean/median reward -1.6/2.0, min/max reward -20.0/14.0, entropy 1.05231, value loss 0.00728, policy loss 0.00408, distill_loss -0.13019, time 602.05352 min
Updates 11360, num timesteps 29084160, FPS 804, mean/median reward -1.6/2.0, min/max reward -20.0/14.0, entropy 1.05302, value loss 0.01670, policy loss 0.02108, distill_loss 0.02099, time 602.56422 min
Updates 11370, num timesteps 29109760, FPS 804, mean/median reward -1.6/2.0, min/max reward -20.0/14.0, entropy 1.05667, value loss 0.00117, policy loss 0.01019, distill_loss 0.13625, time 603.08641 min
Updates 11380, num timesteps 29135360, FPS 804, mean/median reward -1.5/2.0, min/max reward -20.0/14.0, entropy 1.05586, value loss 0.02273, policy loss 0.02245, distill_loss -0.03745, time 603.59894 min
Updates 11390, num timesteps 29160960, FPS 804, mean/median reward -2.1/2.0, min/max reward -20.0/14.0, entropy 1.11401, value loss 0.00840, policy loss 0.01858, distill_loss -0.09115, time 604.11424 min
Updates 11400, num timesteps 29186560, FPS 804, mean/median reward -1.8/2.0, min/max reward -20.0/14.0, entropy 1.10322, value loss 0.01352, policy loss 0.01681, distill_loss -0.54939, time 604.62810 min
Updates 11410, num timesteps 29212160, FPS 804, mean/median reward -2.0/2.0, min/max reward -20.0/14.0, entropy 1.10363, value loss 0.01448, policy loss 0.02519, distill_loss -0.13302, time 605.13863 min
Updates 11420, num timesteps 29237760, FPS 804, mean/median reward -2.1/2.0, min/max reward -20.0/14.0, entropy 1.06332, value loss 0.00643, policy loss 0.01578, distill_loss -0.19010, time 605.64539 min
Updates 11430, num timesteps 29263360, FPS 804, mean/median reward -2.1/2.0, min/max reward -20.0/14.0, entropy 1.09276, value loss 0.02070, policy loss 0.03282, distill_loss -0.26376, time 606.15715 min
Updates 11440, num timesteps 29288960, FPS 804, mean/median reward -1.6/2.0, min/max reward -20.0/14.0, entropy 1.10161, value loss 0.05029, policy loss 0.00272, distill_loss -0.26695, time 606.66665 min
Updates 11450, num timesteps 29314560, FPS 804, mean/median reward -1.6/2.0, min/max reward -20.0/14.0, entropy 1.08782, value loss 0.39445, policy loss 0.04553, distill_loss -0.30908, time 607.24749 min
Updates 11460, num timesteps 29340160, FPS 804, mean/median reward -1.5/2.0, min/max reward -20.0/14.0, entropy 1.11315, value loss 0.01573, policy loss 0.01252, distill_loss -0.00169, time 607.75796 min
Updates 11470, num timesteps 29365760, FPS 804, mean/median reward -1.9/2.0, min/max reward -20.0/14.0, entropy 1.11157, value loss 2.77129, policy loss -0.26234, distill_loss -0.15280, time 608.27099 min
Updates 11480, num timesteps 29391360, FPS 804, mean/median reward -1.9/2.0, min/max reward -20.0/14.0, entropy 1.11852, value loss 0.63859, policy loss 0.04209, distill_loss -0.18432, time 608.78057 min
Updates 11490, num timesteps 29416960, FPS 804, mean/median reward -1.4/2.0, min/max reward -20.0/14.0, entropy 1.09117, value loss 0.67731, policy loss 0.06488, distill_loss -0.61872, time 609.28585 min
Updates 11500, num timesteps 29442560, FPS 804, mean/median reward -1.0/2.0, min/max reward -20.0/14.0, entropy 1.11842, value loss 0.00712, policy loss 0.00183, distill_loss -0.05552, time 609.79111 min
Updates 11510, num timesteps 29468160, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.12180, value loss 0.00790, policy loss 0.01199, distill_loss -0.02414, time 610.30019 min
Updates 11520, num timesteps 29493760, FPS 804, mean/median reward -0.7/2.0, min/max reward -20.0/14.0, entropy 1.13555, value loss 0.01065, policy loss 0.01311, distill_loss -0.02518, time 610.81145 min
Updates 11530, num timesteps 29519360, FPS 804, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.11520, value loss 0.01645, policy loss 0.01324, distill_loss -0.15031, time 611.32551 min
Updates 11540, num timesteps 29544960, FPS 804, mean/median reward -1.4/2.0, min/max reward -20.0/14.0, entropy 1.10630, value loss 2.68321, policy loss -0.07427, distill_loss -0.01002, time 611.83841 min
Updates 11550, num timesteps 29570560, FPS 804, mean/median reward -1.6/2.0, min/max reward -20.0/14.0, entropy 1.09667, value loss 0.89768, policy loss -0.05535, distill_loss -0.18775, time 612.35333 min
Updates 11560, num timesteps 29596160, FPS 804, mean/median reward -1.5/2.0, min/max reward -20.0/14.0, entropy 1.10441, value loss 2.24208, policy loss -0.15671, distill_loss -0.28517, time 612.94310 min
Updates 11570, num timesteps 29621760, FPS 804, mean/median reward -1.2/2.0, min/max reward -20.0/14.0, entropy 1.06528, value loss 0.01185, policy loss 0.01493, distill_loss -0.00508, time 613.45114 min
Updates 11580, num timesteps 29647360, FPS 804, mean/median reward -1.0/2.0, min/max reward -20.0/14.0, entropy 1.13771, value loss 0.00419, policy loss -0.00023, distill_loss -0.22470, time 613.96400 min
Updates 11590, num timesteps 29672960, FPS 804, mean/median reward -1.5/2.0, min/max reward -20.0/14.0, entropy 1.09515, value loss 0.00360, policy loss 0.00696, distill_loss -0.26161, time 614.47539 min
Updates 11600, num timesteps 29698560, FPS 804, mean/median reward -1.4/2.0, min/max reward -20.0/14.0, entropy 1.12163, value loss 0.75882, policy loss -0.05006, distill_loss -0.14877, time 614.98765 min
Updates 11610, num timesteps 29724160, FPS 804, mean/median reward -1.3/2.0, min/max reward -20.0/14.0, entropy 1.09121, value loss 0.00218, policy loss 0.00571, distill_loss -0.36505, time 615.49809 min
Updates 11620, num timesteps 29749760, FPS 804, mean/median reward -1.3/2.0, min/max reward -20.0/14.0, entropy 1.13184, value loss 2.49481, policy loss -0.09798, distill_loss -0.31353, time 616.01239 min
Updates 11630, num timesteps 29775360, FPS 804, mean/median reward -0.9/2.0, min/max reward -20.0/14.0, entropy 1.06975, value loss 0.00087, policy loss 0.00608, distill_loss -0.40621, time 616.65653 min
Updates 11640, num timesteps 29800960, FPS 804, mean/median reward -1.2/2.0, min/max reward -20.0/14.0, entropy 1.13257, value loss 0.01547, policy loss -0.01316, distill_loss -0.17837, time 617.17080 min
Updates 11650, num timesteps 29826560, FPS 804, mean/median reward -1.5/2.0, min/max reward -20.0/14.0, entropy 1.09776, value loss 0.17478, policy loss 0.04054, distill_loss -0.04568, time 617.68412 min
Updates 11660, num timesteps 29852160, FPS 804, mean/median reward -2.2/2.0, min/max reward -20.0/14.0, entropy 1.07434, value loss 1.10975, policy loss -0.08274, distill_loss -0.08836, time 618.36662 min
Updates 11670, num timesteps 29877760, FPS 804, mean/median reward -1.9/2.0, min/max reward -20.0/14.0, entropy 1.16078, value loss 0.69311, policy loss 0.10686, distill_loss -0.28880, time 618.88313 min
Updates 11680, num timesteps 29903360, FPS 804, mean/median reward -1.7/2.0, min/max reward -20.0/14.0, entropy 1.11103, value loss 0.01129, policy loss 0.01074, distill_loss -0.22599, time 619.43145 min
Updates 11690, num timesteps 29928960, FPS 804, mean/median reward -1.2/2.0, min/max reward -20.0/14.0, entropy 1.11735, value loss 0.00182, policy loss 0.00027, distill_loss -0.03460, time 619.94177 min
Updates 11700, num timesteps 29954560, FPS 804, mean/median reward -1.9/2.0, min/max reward -20.0/14.0, entropy 1.12236, value loss 0.01412, policy loss 0.01630, distill_loss -0.28334, time 620.54560 min
Updates 11710, num timesteps 29980160, FPS 804, mean/median reward -2.4/2.0, min/max reward -20.0/14.0, entropy 1.12573, value loss 1.22614, policy loss -0.04207, distill_loss -0.15347, time 621.05790 min
Updates 11720, num timesteps 30005760, FPS 804, mean/median reward -2.7/2.0, min/max reward -20.0/14.0, entropy 1.09060, value loss 1.57619, policy loss -0.13880, distill_loss -0.03633, time 621.56810 min
Updates 11730, num timesteps 30031360, FPS 804, mean/median reward -2.4/2.0, min/max reward -20.0/14.0, entropy 1.13178, value loss 0.01808, policy loss 0.02838, distill_loss -0.21917, time 622.08898 min
Updates 11740, num timesteps 30056960, FPS 804, mean/median reward -2.0/2.0, min/max reward -20.0/14.0, entropy 1.12673, value loss 0.03075, policy loss 0.02676, distill_loss -0.42139, time 622.60950 min
Updates 11750, num timesteps 30082560, FPS 804, mean/median reward -2.4/2.0, min/max reward -20.0/14.0, entropy 1.09057, value loss 0.01020, policy loss 0.00546, distill_loss 0.06222, time 623.17644 min
Updates 11760, num timesteps 30108160, FPS 804, mean/median reward -2.2/2.0, min/max reward -20.0/14.0, entropy 1.06739, value loss 2.16613, policy loss -0.14840, distill_loss 0.29542, time 623.80558 min
Updates 11770, num timesteps 30133760, FPS 804, mean/median reward -2.1/2.0, min/max reward -20.0/14.0, entropy 1.12153, value loss 0.00503, policy loss 0.01145, distill_loss -0.11081, time 624.34054 min
Updates 11780, num timesteps 30159360, FPS 804, mean/median reward -2.3/2.0, min/max reward -20.0/13.0, entropy 1.07292, value loss 0.90046, policy loss -0.11739, distill_loss 0.00447, time 624.84688 min
Updates 11790, num timesteps 30184960, FPS 804, mean/median reward -2.3/2.0, min/max reward -20.0/13.0, entropy 1.11729, value loss 0.60684, policy loss 0.05863, distill_loss 0.07073, time 625.35884 min
Updates 11800, num timesteps 30210560, FPS 804, mean/median reward -2.4/2.0, min/max reward -20.0/13.0, entropy 1.06665, value loss 0.00916, policy loss 0.02105, distill_loss 0.60558, time 625.98276 min
Updates 11810, num timesteps 30236160, FPS 804, mean/median reward -2.1/2.0, min/max reward -20.0/13.0, entropy 1.10223, value loss 0.01419, policy loss 0.02615, distill_loss 0.23946, time 626.49594 min
Updates 11820, num timesteps 30261760, FPS 804, mean/median reward -2.0/2.0, min/max reward -20.0/13.0, entropy 1.12511, value loss 0.00685, policy loss 0.01030, distill_loss 0.13188, time 627.00565 min
Updates 11830, num timesteps 30287360, FPS 804, mean/median reward -1.8/2.0, min/max reward -20.0/13.0, entropy 1.07970, value loss 0.67041, policy loss 0.05870, distill_loss 0.46391, time 627.55797 min
Updates 11840, num timesteps 30312960, FPS 804, mean/median reward -1.4/2.0, min/max reward -20.0/13.0, entropy 1.08022, value loss 0.02423, policy loss 0.00398, distill_loss 0.37327, time 628.06762 min
Updates 11850, num timesteps 30338560, FPS 804, mean/median reward -0.6/2.0, min/max reward -20.0/14.0, entropy 1.11262, value loss 0.00480, policy loss -0.00045, distill_loss -0.04092, time 628.61012 min
Updates 11860, num timesteps 30364160, FPS 804, mean/median reward -0.5/2.0, min/max reward -20.0/14.0, entropy 1.10701, value loss 0.01574, policy loss -0.00204, distill_loss 0.37194, time 629.11867 min
Updates 11870, num timesteps 30389760, FPS 804, mean/median reward -0.8/2.0, min/max reward -20.0/14.0, entropy 1.10750, value loss 0.00675, policy loss 0.00547, distill_loss 0.04124, time 629.62944 min
Updates 11880, num timesteps 30415360, FPS 804, mean/median reward -1.0/2.0, min/max reward -20.0/14.0, entropy 1.08328, value loss 0.00326, policy loss 0.00954, distill_loss -0.08090, time 630.18781 min
Updates 11890, num timesteps 30440960, FPS 804, mean/median reward -0.8/2.0, min/max reward -20.0/14.0, entropy 1.10598, value loss 0.00668, policy loss 0.00704, distill_loss -0.05162, time 630.69687 min
Updates 11900, num timesteps 30466560, FPS 804, mean/median reward -0.6/2.0, min/max reward -20.0/14.0, entropy 1.09991, value loss 0.02010, policy loss 0.02567, distill_loss 0.28913, time 631.24414 min
Updates 11910, num timesteps 30492160, FPS 804, mean/median reward -0.6/2.0, min/max reward -20.0/14.0, entropy 1.13203, value loss 2.50609, policy loss -0.21509, distill_loss 0.15390, time 631.75840 min
Updates 11920, num timesteps 30517760, FPS 804, mean/median reward -0.8/2.0, min/max reward -20.0/14.0, entropy 1.09710, value loss 0.01433, policy loss 0.01045, distill_loss 0.19583, time 632.40322 min
Updates 11930, num timesteps 30543360, FPS 804, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.08463, value loss 0.20086, policy loss 0.00778, distill_loss -0.02679, time 633.08393 min
Updates 11940, num timesteps 30568960, FPS 804, mean/median reward -1.0/2.0, min/max reward -20.0/14.0, entropy 1.10522, value loss 0.01617, policy loss 0.03532, distill_loss -0.14534, time 633.59611 min
Updates 11950, num timesteps 30594560, FPS 804, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.08451, value loss 0.00370, policy loss -0.00146, distill_loss -0.03878, time 634.19936 min
Updates 11960, num timesteps 30620160, FPS 804, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.08952, value loss 0.00859, policy loss 0.01137, distill_loss -0.07321, time 634.72423 min
Updates 11970, num timesteps 30645760, FPS 804, mean/median reward -0.9/2.0, min/max reward -20.0/14.0, entropy 1.08517, value loss 1.96732, policy loss -0.16341, distill_loss -0.11026, time 635.23601 min
Updates 11980, num timesteps 30671360, FPS 804, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.06249, value loss 0.46938, policy loss -0.03587, distill_loss 0.49178, time 635.74773 min
Updates 11990, num timesteps 30696960, FPS 804, mean/median reward -0.8/2.0, min/max reward -20.0/14.0, entropy 1.07043, value loss 0.25195, policy loss 0.02853, distill_loss 0.02673, time 636.26066 min
Updates 12000, num timesteps 30722560, FPS 803, mean/median reward -0.7/2.0, min/max reward -20.0/14.0, entropy 1.11514, value loss 0.01003, policy loss -0.00400, distill_loss 0.06995, time 637.00602 min
Updates 12010, num timesteps 30748160, FPS 803, mean/median reward -0.5/2.0, min/max reward -20.0/14.0, entropy 1.04800, value loss 0.01647, policy loss -0.00066, distill_loss 0.01143, time 637.52827 min
Updates 12020, num timesteps 30773760, FPS 803, mean/median reward 0.3/2.0, min/max reward -20.0/14.0, entropy 1.08314, value loss 2.46103, policy loss -0.03336, distill_loss 0.01521, time 638.04835 min
Updates 12030, num timesteps 30799360, FPS 803, mean/median reward -0.1/2.0, min/max reward -20.0/14.0, entropy 1.07506, value loss 0.02098, policy loss 0.01045, distill_loss -0.11473, time 638.56334 min
Updates 12040, num timesteps 30824960, FPS 803, mean/median reward -0.3/2.0, min/max reward -20.0/14.0, entropy 1.09186, value loss 0.01425, policy loss 0.01356, distill_loss 0.05443, time 639.08739 min
Updates 12050, num timesteps 30850560, FPS 803, mean/median reward -0.2/2.0, min/max reward -20.0/14.0, entropy 1.06573, value loss 2.65206, policy loss -0.17842, distill_loss 0.06813, time 639.61275 min
Updates 12060, num timesteps 30876160, FPS 803, mean/median reward 0.5/2.0, min/max reward -20.0/14.0, entropy 1.05522, value loss 0.01044, policy loss -0.00036, distill_loss 0.24220, time 640.14028 min
Updates 12070, num timesteps 30901760, FPS 803, mean/median reward 0.8/2.0, min/max reward -20.0/14.0, entropy 1.12338, value loss 0.00482, policy loss 0.01166, distill_loss 0.09792, time 640.66515 min
Updates 12080, num timesteps 30927360, FPS 803, mean/median reward -0.1/2.0, min/max reward -20.0/14.0, entropy 1.09397, value loss 0.63814, policy loss 0.07444, distill_loss 0.29144, time 641.19312 min
Updates 12090, num timesteps 30952960, FPS 803, mean/median reward -0.8/2.0, min/max reward -20.0/14.0, entropy 1.13258, value loss 0.02259, policy loss 0.03719, distill_loss 0.19547, time 641.71686 min
Updates 12100, num timesteps 30978560, FPS 803, mean/median reward -0.6/2.0, min/max reward -20.0/14.0, entropy 1.08333, value loss 0.00419, policy loss 0.00410, distill_loss 0.10040, time 642.22677 min
Updates 12110, num timesteps 31004160, FPS 803, mean/median reward -0.6/2.0, min/max reward -20.0/14.0, entropy 1.11437, value loss 0.00852, policy loss -0.00796, distill_loss -0.06927, time 642.73872 min
Updates 12120, num timesteps 31029760, FPS 803, mean/median reward -0.5/2.0, min/max reward -20.0/14.0, entropy 1.08578, value loss 0.01007, policy loss 0.00090, distill_loss -0.00022, time 643.25982 min
Updates 12130, num timesteps 31055360, FPS 803, mean/median reward -0.1/2.0, min/max reward -20.0/14.0, entropy 1.07736, value loss 0.00616, policy loss -0.00407, distill_loss -0.20590, time 643.77187 min
Updates 12140, num timesteps 31080960, FPS 803, mean/median reward -0.3/2.0, min/max reward -20.0/14.0, entropy 1.06398, value loss 0.00764, policy loss 0.01817, distill_loss -0.09629, time 644.40320 min
Updates 12150, num timesteps 31106560, FPS 803, mean/median reward -0.8/2.0, min/max reward -20.0/14.0, entropy 1.08028, value loss 0.16362, policy loss -0.06865, distill_loss -0.37101, time 644.93343 min
Updates 12160, num timesteps 31132160, FPS 803, mean/median reward -0.8/2.0, min/max reward -20.0/14.0, entropy 1.04127, value loss 0.00276, policy loss 0.00101, distill_loss 0.27682, time 645.44340 min
Updates 12170, num timesteps 31157760, FPS 803, mean/median reward -1.5/2.0, min/max reward -20.0/14.0, entropy 1.08547, value loss 0.00949, policy loss 0.01453, distill_loss -0.01535, time 645.96122 min
Updates 12180, num timesteps 31183360, FPS 803, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.09346, value loss 0.00358, policy loss -0.00652, distill_loss 0.04929, time 646.50712 min
Updates 12190, num timesteps 31208960, FPS 803, mean/median reward -1.0/2.0, min/max reward -20.0/14.0, entropy 1.09685, value loss 0.00136, policy loss -0.00227, distill_loss 0.02452, time 647.01873 min
Updates 12200, num timesteps 31234560, FPS 803, mean/median reward -0.9/2.0, min/max reward -20.0/14.0, entropy 1.09366, value loss 0.75980, policy loss 0.13034, distill_loss 0.08817, time 647.54205 min
Updates 12210, num timesteps 31260160, FPS 803, mean/median reward -1.3/2.0, min/max reward -20.0/14.0, entropy 1.12042, value loss 0.00602, policy loss 0.01447, distill_loss -0.03549, time 648.05157 min
Updates 12220, num timesteps 31285760, FPS 803, mean/median reward -1.9/2.0, min/max reward -20.0/14.0, entropy 1.14061, value loss 0.40277, policy loss 0.03961, distill_loss -0.22096, time 648.56385 min
Updates 12230, num timesteps 31311360, FPS 803, mean/median reward -0.8/2.0, min/max reward -20.0/14.0, entropy 1.16268, value loss 0.01147, policy loss 0.01244, distill_loss -0.17382, time 649.07705 min
Updates 12240, num timesteps 31336960, FPS 804, mean/median reward -0.0/2.0, min/max reward -20.0/14.0, entropy 1.11136, value loss 0.00436, policy loss 0.00041, distill_loss -0.07836, time 649.59848 min
Updates 12250, num timesteps 31362560, FPS 804, mean/median reward 0.1/2.0, min/max reward -20.0/14.0, entropy 1.06338, value loss 0.17107, policy loss -0.00907, distill_loss 0.13484, time 650.11449 min
Updates 12260, num timesteps 31388160, FPS 804, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.07524, value loss 1.92967, policy loss -0.08795, distill_loss -0.28833, time 650.62696 min
Updates 12270, num timesteps 31413760, FPS 804, mean/median reward -1.0/2.0, min/max reward -20.0/14.0, entropy 1.11951, value loss 0.43290, policy loss 0.06177, distill_loss -0.10289, time 651.13878 min
Updates 12280, num timesteps 31439360, FPS 804, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.14942, value loss 0.00593, policy loss -0.00242, distill_loss -0.01700, time 651.65073 min
Updates 12290, num timesteps 31464960, FPS 803, mean/median reward -1.2/2.0, min/max reward -20.0/14.0, entropy 1.06318, value loss 0.00844, policy loss -0.00864, distill_loss -0.18284, time 652.29133 min
Updates 12300, num timesteps 31490560, FPS 803, mean/median reward -0.5/2.0, min/max reward -20.0/14.0, entropy 1.10726, value loss 0.35131, policy loss 0.01835, distill_loss -0.20019, time 652.80651 min
Updates 12310, num timesteps 31516160, FPS 804, mean/median reward -0.6/2.0, min/max reward -20.0/14.0, entropy 1.01207, value loss 0.01049, policy loss 0.00363, distill_loss -0.09993, time 653.31913 min
Updates 12320, num timesteps 31541760, FPS 803, mean/median reward -0.6/2.0, min/max reward -20.0/14.0, entropy 1.07328, value loss 2.26266, policy loss -0.20265, distill_loss 0.16128, time 653.86585 min
Updates 12330, num timesteps 31567360, FPS 804, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.07254, value loss 0.00452, policy loss -0.00949, distill_loss -0.19899, time 654.37980 min
Updates 12340, num timesteps 31592960, FPS 804, mean/median reward -1.4/2.0, min/max reward -20.0/14.0, entropy 1.06302, value loss 0.02398, policy loss 0.01521, distill_loss -0.33017, time 654.88864 min
Updates 12350, num timesteps 31618560, FPS 804, mean/median reward -1.6/2.0, min/max reward -20.0/14.0, entropy 1.02030, value loss 0.00954, policy loss 0.01396, distill_loss -0.25701, time 655.42212 min
Updates 12360, num timesteps 31644160, FPS 804, mean/median reward -1.6/2.0, min/max reward -20.0/14.0, entropy 1.10273, value loss 0.00404, policy loss -0.00203, distill_loss -0.44034, time 655.93340 min
Updates 12370, num timesteps 31669760, FPS 804, mean/median reward -0.9/2.0, min/max reward -20.0/14.0, entropy 1.06641, value loss 0.00175, policy loss -0.00078, distill_loss -0.25344, time 656.44574 min
Updates 12380, num timesteps 31695360, FPS 804, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.08197, value loss 0.00555, policy loss 0.00553, distill_loss -0.41537, time 656.95761 min
Updates 12390, num timesteps 31720960, FPS 804, mean/median reward -1.7/2.0, min/max reward -20.0/14.0, entropy 1.05730, value loss 0.00424, policy loss 0.00595, distill_loss -0.81558, time 657.47186 min
Updates 12400, num timesteps 31746560, FPS 804, mean/median reward -1.4/2.0, min/max reward -20.0/14.0, entropy 1.10794, value loss 0.02357, policy loss 0.02288, distill_loss -0.75015, time 658.06349 min
Updates 12410, num timesteps 31772160, FPS 804, mean/median reward -0.8/2.0, min/max reward -20.0/14.0, entropy 1.08682, value loss 0.01375, policy loss 0.01533, distill_loss -0.57379, time 658.57808 min
Updates 12420, num timesteps 31797760, FPS 804, mean/median reward -0.9/2.0, min/max reward -20.0/14.0, entropy 1.07685, value loss 0.56791, policy loss 0.06437, distill_loss -0.45066, time 659.09048 min
Updates 12430, num timesteps 31823360, FPS 804, mean/median reward -1.7/2.0, min/max reward -20.0/14.0, entropy 1.07811, value loss 1.11998, policy loss 0.06423, distill_loss -0.39191, time 659.60489 min
Updates 12440, num timesteps 31848960, FPS 804, mean/median reward -1.4/2.0, min/max reward -20.0/14.0, entropy 1.10599, value loss 0.01618, policy loss 0.00158, distill_loss -0.62410, time 660.11786 min
Updates 12450, num timesteps 31874560, FPS 804, mean/median reward -1.7/2.0, min/max reward -20.0/14.0, entropy 1.06981, value loss 1.66977, policy loss -0.11850, distill_loss -0.35208, time 660.63202 min
Updates 12460, num timesteps 31900160, FPS 804, mean/median reward -1.3/2.0, min/max reward -20.0/14.0, entropy 1.08684, value loss 0.01947, policy loss 0.00636, distill_loss -0.07176, time 661.14538 min
Updates 12470, num timesteps 31925760, FPS 804, mean/median reward -1.7/2.0, min/max reward -20.0/14.0, entropy 1.10960, value loss 0.01982, policy loss 0.02987, distill_loss -0.13411, time 661.65396 min
Updates 12480, num timesteps 31951360, FPS 804, mean/median reward -1.3/2.0, min/max reward -20.0/14.0, entropy 1.09438, value loss 0.34966, policy loss 0.05082, distill_loss -0.27432, time 662.16789 min
Updates 12490, num timesteps 31976960, FPS 804, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.08745, value loss 0.01226, policy loss 0.00736, distill_loss -0.41334, time 662.67416 min
