command line args: main.py --algo i2a --env MsPacmanNoFrameskip-v0 --num-processes 64 --port 5555 --log-dir /tmp/gym/MsPacman_sSSM --num-steps 10 --entropy-coef 0.01 --distill-coef 10 --num-stack 4 --num-frames 300000000 --train-on-200x160-pixel --latent-space-model sSSM
Updates 0, num timesteps 640, FPS 30, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19722, value loss 0.00444, policy loss 0.01705, distill_loss 0.00080, time 0.34983 min
Updates 13440, num timesteps 8602240, FPS 64, mean/median reward 19.6/17.0, min/max reward 0.0/79.0, entropy 1.92155, value loss 0.11962, policy loss -0.02166, distill_loss -8.77736, time 2209.65541 min
Updates 13450, num timesteps 8608640, FPS 64, mean/median reward 19.5/17.0, min/max reward 0.0/79.0, entropy 1.76292, value loss 0.07830, policy loss -0.03557, distill_loss -9.27503, time 2210.80325 min
Updates 13460, num timesteps 8615040, FPS 64, mean/median reward 18.9/16.0, min/max reward 0.0/79.0, entropy 1.77924, value loss 0.09342, policy loss -0.05639, distill_loss -11.96308, time 2211.94963 min
Updates 13470, num timesteps 8621440, FPS 64, mean/median reward 16.4/14.0, min/max reward 0.0/79.0, entropy 1.81753, value loss 0.12502, policy loss -0.20067, distill_loss -6.98782, time 2213.07865 min
Updates 13480, num timesteps 8627840, FPS 64, mean/median reward 15.5/14.0, min/max reward 0.0/58.0, entropy 1.97971, value loss 0.06867, policy loss 0.04919, distill_loss -5.50887, time 2214.18426 min
Updates 13490, num timesteps 8634240, FPS 64, mean/median reward 15.3/12.0, min/max reward 0.0/56.0, entropy 1.81683, value loss 0.19636, policy loss 0.02809, distill_loss -10.48205, time 2215.29828 min
Updates 13500, num timesteps 8640640, FPS 64, mean/median reward 15.4/13.0, min/max reward 0.0/56.0, entropy 1.86679, value loss 0.16543, policy loss 0.00672, distill_loss -6.46167, time 2216.45805 min
Updates 13510, num timesteps 8647040, FPS 64, mean/median reward 15.0/12.0, min/max reward 0.0/56.0, entropy 2.00514, value loss 0.20625, policy loss 0.05773, distill_loss -7.54730, time 2217.57539 min
Updates 13520, num timesteps 8653440, FPS 65, mean/median reward 15.5/12.0, min/max reward 0.0/56.0, entropy 1.83678, value loss 0.09285, policy loss -0.10845, distill_loss -8.35359, time 2218.70190 min
Updates 13530, num timesteps 8659840, FPS 65, mean/median reward 15.1/12.0, min/max reward 0.0/56.0, entropy 1.87717, value loss 0.24873, policy loss 0.07052, distill_loss -10.86783, time 2219.83167 min
Updates 13540, num timesteps 8666240, FPS 65, mean/median reward 15.2/12.0, min/max reward 0.0/56.0, entropy 1.96461, value loss 0.35690, policy loss 0.12217, distill_loss -9.27212, time 2220.96063 min
Updates 13550, num timesteps 8672640, FPS 65, mean/median reward 13.9/10.0, min/max reward 0.0/53.0, entropy 1.83634, value loss 0.12125, policy loss -0.00927, distill_loss -15.31803, time 2222.06078 min
Updates 13560, num timesteps 8679040, FPS 65, mean/median reward 13.1/10.0, min/max reward 0.0/42.0, entropy 1.84803, value loss 0.14628, policy loss 0.00296, distill_loss -15.18378, time 2223.16287 min
Updates 13570, num timesteps 8685440, FPS 65, mean/median reward 13.1/11.0, min/max reward 0.0/46.0, entropy 1.91303, value loss 0.11391, policy loss 0.03221, distill_loss -10.01674, time 2224.29442 min
Updates 13580, num timesteps 8691840, FPS 65, mean/median reward 14.3/12.0, min/max reward 0.0/46.0, entropy 1.87884, value loss 0.10330, policy loss -0.07264, distill_loss -10.33491, time 2225.43646 min
Updates 13590, num timesteps 8698240, FPS 65, mean/median reward 14.6/12.0, min/max reward 0.0/47.0, entropy 1.79381, value loss 0.14460, policy loss -0.06998, distill_loss -13.30356, time 2226.59489 min
Updates 13600, num timesteps 8704640, FPS 65, mean/median reward 14.1/12.0, min/max reward 0.0/47.0, entropy 1.92023, value loss 0.10571, policy loss -0.10286, distill_loss -12.17261, time 2227.71700 min
Updates 13610, num timesteps 8711040, FPS 65, mean/median reward 14.6/12.0, min/max reward 0.0/47.0, entropy 1.89433, value loss 0.09016, policy loss 0.03568, distill_loss -13.59759, time 2228.82411 min
Updates 13620, num timesteps 8717440, FPS 65, mean/median reward 14.7/14.0, min/max reward 0.0/47.0, entropy 1.84679, value loss 0.23584, policy loss 0.00317, distill_loss -15.64038, time 2229.96751 min
Updates 13630, num timesteps 8723840, FPS 65, mean/median reward 14.4/14.0, min/max reward 0.0/47.0, entropy 1.86182, value loss 0.42359, policy loss 0.20692, distill_loss -10.03123, time 2231.12248 min
Updates 13640, num timesteps 8730240, FPS 65, mean/median reward 15.5/14.0, min/max reward 0.0/56.0, entropy 1.70051, value loss 0.14730, policy loss -0.10347, distill_loss -19.61034, time 2232.27197 min
Updates 13650, num timesteps 8736640, FPS 65, mean/median reward 15.6/14.0, min/max reward 0.0/56.0, entropy 1.74626, value loss 0.11230, policy loss -0.04443, distill_loss -18.70922, time 2233.38164 min
Updates 13660, num timesteps 8743040, FPS 65, mean/median reward 15.5/14.0, min/max reward 0.0/56.0, entropy 1.71865, value loss 0.10479, policy loss -0.07602, distill_loss -21.05770, time 2234.50218 min
Updates 13670, num timesteps 8749440, FPS 65, mean/median reward 15.3/14.0, min/max reward 0.0/44.0, entropy 1.87165, value loss 0.07670, policy loss -0.06941, distill_loss -14.07327, time 2235.65995 min
Updates 13680, num timesteps 8755840, FPS 65, mean/median reward 17.4/17.0, min/max reward 0.0/47.0, entropy 1.85897, value loss 0.10116, policy loss -0.04083, distill_loss -13.54799, time 2236.80594 min
Updates 13690, num timesteps 8762240, FPS 65, mean/median reward 18.0/17.0, min/max reward 0.0/52.0, entropy 1.91846, value loss 0.12326, policy loss 0.07257, distill_loss -14.16412, time 2237.91760 min
Updates 13700, num timesteps 8768640, FPS 65, mean/median reward 19.0/18.0, min/max reward 0.0/52.0, entropy 1.87112, value loss 0.07387, policy loss -0.03680, distill_loss -16.25421, time 2239.02983 min
Updates 13710, num timesteps 8775040, FPS 65, mean/median reward 18.1/17.0, min/max reward 0.0/52.0, entropy 1.97388, value loss 0.24573, policy loss -0.03289, distill_loss -11.24276, time 2240.13704 min
Updates 13720, num timesteps 8781440, FPS 65, mean/median reward 17.9/16.0, min/max reward 0.0/52.0, entropy 1.96566, value loss 0.09564, policy loss 0.00790, distill_loss -13.09930, time 2241.28087 min
Updates 13730, num timesteps 8787840, FPS 65, mean/median reward 18.1/16.0, min/max reward 0.0/63.0, entropy 1.89320, value loss 0.21143, policy loss 0.04481, distill_loss -12.69348, time 2242.42614 min
Updates 13740, num timesteps 8794240, FPS 65, mean/median reward 18.3/17.0, min/max reward 0.0/63.0, entropy 1.78732, value loss 0.10881, policy loss -0.01993, distill_loss -19.39731, time 2243.53087 min
Updates 13750, num timesteps 8800640, FPS 65, mean/median reward 17.6/16.0, min/max reward 0.0/63.0, entropy 1.78618, value loss 0.19514, policy loss -0.04793, distill_loss -20.12578, time 2244.68682 min
Updates 13760, num timesteps 8807040, FPS 65, mean/median reward 16.6/16.0, min/max reward 0.0/63.0, entropy 1.89174, value loss 0.11705, policy loss -0.01932, distill_loss -12.34666, time 2245.80873 min
Updates 13770, num timesteps 8813440, FPS 65, mean/median reward 15.7/15.0, min/max reward 0.0/47.0, entropy 1.81758, value loss 0.12965, policy loss -0.00821, distill_loss -17.66153, time 2246.92557 min
Updates 13780, num timesteps 8819840, FPS 65, mean/median reward 15.6/15.0, min/max reward 0.0/54.0, entropy 1.91808, value loss 0.13087, policy loss -0.05426, distill_loss -11.54288, time 2248.05671 min
Updates 13790, num timesteps 8826240, FPS 65, mean/median reward 16.1/15.0, min/max reward 0.0/55.0, entropy 1.92886, value loss 0.21972, policy loss 0.03782, distill_loss -9.98077, time 2249.15301 min
Updates 13800, num timesteps 8832640, FPS 65, mean/median reward 15.5/12.0, min/max reward 0.0/55.0, entropy 1.73734, value loss 0.10188, policy loss -0.01581, distill_loss -17.33581, time 2250.26154 min
Updates 13810, num timesteps 8839040, FPS 65, mean/median reward 14.7/11.0, min/max reward 0.0/55.0, entropy 1.82591, value loss 0.20670, policy loss -0.03982, distill_loss -13.39561, time 2251.38457 min
Updates 13820, num timesteps 8845440, FPS 65, mean/median reward 16.0/11.0, min/max reward 1.0/55.0, entropy 1.77752, value loss 0.16623, policy loss -0.00388, distill_loss -10.67212, time 2252.50205 min
Updates 13830, num timesteps 8851840, FPS 65, mean/median reward 17.5/12.0, min/max reward 1.0/57.0, entropy 1.83373, value loss 0.12155, policy loss 0.07700, distill_loss -12.48979, time 2253.66189 min
Updates 13840, num timesteps 8858240, FPS 65, mean/median reward 18.4/13.0, min/max reward 0.0/66.0, entropy 1.66551, value loss 0.13259, policy loss 0.03829, distill_loss -14.35800, time 2254.76675 min
Updates 13850, num timesteps 8864640, FPS 65, mean/median reward 17.8/13.0, min/max reward 0.0/66.0, entropy 1.68918, value loss 0.10267, policy loss 0.01514, distill_loss -18.34974, time 2255.90605 min
Updates 13860, num timesteps 8871040, FPS 65, mean/median reward 17.4/12.0, min/max reward 0.0/69.0, entropy 1.71208, value loss 0.39582, policy loss 0.12039, distill_loss -11.90123, time 2257.04907 min
Updates 13870, num timesteps 8877440, FPS 65, mean/median reward 18.8/12.0, min/max reward 0.0/69.0, entropy 1.67134, value loss 0.08104, policy loss -0.01643, distill_loss -15.07997, time 2258.19839 min
Updates 13880, num timesteps 8883840, FPS 65, mean/median reward 19.2/12.0, min/max reward 0.0/69.0, entropy 1.80213, value loss 0.08316, policy loss 0.04856, distill_loss -15.45258, time 2259.31822 min
Updates 13890, num timesteps 8890240, FPS 65, mean/median reward 19.7/11.0, min/max reward 1.0/69.0, entropy 1.81251, value loss 0.14062, policy loss -0.08107, distill_loss -13.89812, time 2260.44449 min
Updates 13900, num timesteps 8896640, FPS 65, mean/median reward 19.7/11.0, min/max reward 0.0/68.0, entropy 1.87830, value loss 0.13173, policy loss -0.00513, distill_loss -10.96907, time 2261.57353 min
Updates 13910, num timesteps 8903040, FPS 65, mean/median reward 21.1/15.0, min/max reward 0.0/68.0, entropy 1.90612, value loss 0.08219, policy loss 0.03446, distill_loss -9.57792, time 2262.74117 min
Updates 13920, num timesteps 8909440, FPS 65, mean/median reward 22.8/19.0, min/max reward 0.0/69.0, entropy 1.88225, value loss 0.21139, policy loss 0.00336, distill_loss -11.75407, time 2263.87154 min
Updates 13930, num timesteps 8915840, FPS 65, mean/median reward 25.8/21.0, min/max reward 0.0/69.0, entropy 1.89047, value loss 0.54058, policy loss 0.13178, distill_loss -11.99185, time 2264.97615 min
Updates 13940, num timesteps 8922240, FPS 65, mean/median reward 24.2/18.0, min/max reward 0.0/69.0, entropy 1.87768, value loss 0.23038, policy loss 0.09460, distill_loss -12.69323, time 2266.08149 min
Updates 13950, num timesteps 8928640, FPS 65, mean/median reward 23.8/18.0, min/max reward 0.0/69.0, entropy 1.68829, value loss 0.11925, policy loss -0.03887, distill_loss -22.09297, time 2267.19599 min
Updates 13960, num timesteps 8935040, FPS 65, mean/median reward 23.5/18.0, min/max reward 0.0/69.0, entropy 1.73352, value loss 0.10404, policy loss -0.01650, distill_loss -15.36376, time 2268.32597 min
Updates 13970, num timesteps 8941440, FPS 65, mean/median reward 22.4/17.0, min/max reward 0.0/67.0, entropy 1.89510, value loss 0.05846, policy loss -0.01560, distill_loss -11.91547, time 2269.43181 min
Updates 13980, num timesteps 8947840, FPS 65, mean/median reward 21.0/17.0, min/max reward 0.0/67.0, entropy 1.96175, value loss 0.06734, policy loss -0.00675, distill_loss -10.56690, time 2270.53757 min
Updates 13990, num timesteps 8954240, FPS 65, mean/median reward 19.3/13.0, min/max reward 0.0/67.0, entropy 1.77078, value loss 0.16534, policy loss -0.01584, distill_loss -12.82840, time 2271.66750 min
Updates 14000, num timesteps 8960640, FPS 65, mean/median reward 20.0/13.0, min/max reward 0.0/78.0, entropy 1.68999, value loss 0.12516, policy loss -0.08717, distill_loss -18.54417, time 2272.83617 min
Updates 14010, num timesteps 8967040, FPS 65, mean/median reward 19.1/13.0, min/max reward 0.0/78.0, entropy 1.72881, value loss 0.34939, policy loss 0.05781, distill_loss -21.28180, time 2273.95526 min
Updates 14020, num timesteps 8973440, FPS 65, mean/median reward 18.0/13.0, min/max reward 0.0/78.0, entropy 1.80339, value loss 0.09459, policy loss -0.09509, distill_loss -16.19088, time 2275.06193 min
Updates 14030, num timesteps 8979840, FPS 65, mean/median reward 17.4/12.0, min/max reward 0.0/78.0, entropy 1.73818, value loss 0.13933, policy loss 0.06537, distill_loss -19.29910, time 2276.17763 min
Updates 14040, num timesteps 8986240, FPS 65, mean/median reward 18.3/15.0, min/max reward 0.0/78.0, entropy 1.89190, value loss 0.11842, policy loss -0.05523, distill_loss -16.23705, time 2277.29074 min
Updates 14050, num timesteps 8992640, FPS 65, mean/median reward 18.6/17.0, min/max reward 0.0/78.0, entropy 1.88538, value loss 0.26283, policy loss 0.07502, distill_loss -16.88943, time 2278.41109 min
Updates 14060, num timesteps 8999040, FPS 65, mean/median reward 23.1/19.0, min/max reward 0.0/78.0, entropy 1.79504, value loss 0.14197, policy loss 0.06587, distill_loss -16.58586, time 2279.51945 min
Updates 14070, num timesteps 9005440, FPS 65, mean/median reward 23.7/19.0, min/max reward 0.0/78.0, entropy 1.78261, value loss 0.19896, policy loss 0.15065, distill_loss -16.16328, time 2280.62429 min
Updates 14080, num timesteps 9011840, FPS 65, mean/median reward 24.4/20.0, min/max reward 0.0/78.0, entropy 1.84230, value loss 0.13654, policy loss 0.05827, distill_loss -15.89371, time 2281.73290 min
Updates 14090, num timesteps 9018240, FPS 65, mean/median reward 25.7/20.0, min/max reward 0.0/78.0, entropy 1.70089, value loss 0.19066, policy loss 0.01971, distill_loss -15.88675, time 2282.85526 min
Updates 14100, num timesteps 9024640, FPS 65, mean/median reward 24.0/20.0, min/max reward 0.0/74.0, entropy 1.84590, value loss 0.10780, policy loss -0.02580, distill_loss -12.65919, time 2283.96233 min
Updates 14110, num timesteps 9031040, FPS 65, mean/median reward 23.1/19.0, min/max reward 0.0/74.0, entropy 1.88678, value loss 0.16153, policy loss -0.08290, distill_loss -13.02879, time 2285.07011 min
Updates 14120, num timesteps 9037440, FPS 65, mean/median reward 21.5/18.0, min/max reward 0.0/74.0, entropy 1.78492, value loss 0.38218, policy loss 0.20594, distill_loss -7.82343, time 2286.18493 min
Updates 14130, num timesteps 9043840, FPS 65, mean/median reward 22.1/18.0, min/max reward 0.0/74.0, entropy 1.94879, value loss 0.08017, policy loss -0.07488, distill_loss -9.60942, time 2287.31245 min
Updates 14140, num timesteps 9050240, FPS 65, mean/median reward 21.4/18.0, min/max reward 0.0/74.0, entropy 2.04720, value loss 0.05333, policy loss -0.04560, distill_loss -8.38174, time 2288.43019 min
Updates 14150, num timesteps 9056640, FPS 65, mean/median reward 20.1/17.0, min/max reward 0.0/67.0, entropy 1.98620, value loss 0.07737, policy loss -0.02684, distill_loss -9.43119, time 2289.54188 min
Updates 14160, num timesteps 9063040, FPS 65, mean/median reward 19.4/17.0, min/max reward 0.0/63.0, entropy 1.75417, value loss 0.14595, policy loss -0.07699, distill_loss -13.24138, time 2290.65506 min
Updates 14170, num timesteps 9069440, FPS 65, mean/median reward 19.1/16.0, min/max reward 0.0/63.0, entropy 1.87859, value loss 0.30762, policy loss 0.18774, distill_loss -10.65914, time 2291.75896 min
Updates 14180, num timesteps 9075840, FPS 65, mean/median reward 17.2/16.0, min/max reward 0.0/60.0, entropy 1.90128, value loss 0.08725, policy loss 0.03248, distill_loss -11.82980, time 2292.91671 min
Updates 14190, num timesteps 9082240, FPS 65, mean/median reward 16.3/13.0, min/max reward 0.0/60.0, entropy 1.92238, value loss 0.06064, policy loss -0.16310, distill_loss -13.07910, time 2294.04829 min
Updates 14200, num timesteps 9088640, FPS 65, mean/median reward 16.2/12.0, min/max reward 0.0/77.0, entropy 1.91042, value loss 0.09660, policy loss -0.02273, distill_loss -15.25115, time 2295.17620 min
Updates 14210, num timesteps 9095040, FPS 66, mean/median reward 17.7/10.0, min/max reward 0.0/77.0, entropy 1.91584, value loss 0.08743, policy loss -0.09100, distill_loss -17.68384, time 2296.27632 min
Updates 14220, num timesteps 9101440, FPS 66, mean/median reward 17.3/9.0, min/max reward 0.0/77.0, entropy 1.94047, value loss 0.43813, policy loss 0.08739, distill_loss -14.21622, time 2297.38821 min
Updates 14230, num timesteps 9107840, FPS 66, mean/median reward 18.5/9.0, min/max reward 0.0/77.0, entropy 1.89095, value loss 0.18687, policy loss 0.03511, distill_loss -16.73700, time 2298.48024 min
Updates 14240, num timesteps 9114240, FPS 66, mean/median reward 17.1/9.0, min/max reward 0.0/77.0, entropy 1.96951, value loss 0.07425, policy loss -0.02477, distill_loss -12.22055, time 2299.57627 min
Updates 14250, num timesteps 9120640, FPS 66, mean/median reward 18.1/12.0, min/max reward 0.0/77.0, entropy 1.88842, value loss 0.10156, policy loss -0.01277, distill_loss -13.58667, time 2300.68098 min
Updates 14260, num timesteps 9127040, FPS 66, mean/median reward 17.8/10.0, min/max reward 0.0/77.0, entropy 1.94473, value loss 0.12963, policy loss 0.05832, distill_loss -10.56677, time 2301.79882 min
Updates 14270, num timesteps 9133440, FPS 66, mean/median reward 15.5/9.0, min/max reward 0.0/57.0, entropy 1.92923, value loss 0.06768, policy loss -0.01957, distill_loss -11.97566, time 2302.94210 min
Updates 14280, num timesteps 9139840, FPS 66, mean/median reward 14.2/7.0, min/max reward 0.0/57.0, entropy 1.86835, value loss 0.30559, policy loss -0.07939, distill_loss -12.94117, time 2304.06824 min
Updates 14290, num timesteps 9146240, FPS 66, mean/median reward 13.4/9.0, min/max reward 0.0/51.0, entropy 1.77924, value loss 0.12156, policy loss -0.07519, distill_loss -16.17343, time 2305.40712 min
Updates 14300, num timesteps 9152640, FPS 66, mean/median reward 15.5/12.0, min/max reward 0.0/51.0, entropy 1.89521, value loss 0.08834, policy loss 0.04318, distill_loss -11.50763, time 2306.52482 min
Updates 14310, num timesteps 9159040, FPS 66, mean/median reward 16.0/12.0, min/max reward 0.0/52.0, entropy 1.87936, value loss 0.05649, policy loss -0.05943, distill_loss -12.75434, time 2307.64892 min
Updates 14320, num timesteps 9165440, FPS 66, mean/median reward 17.6/13.0, min/max reward 0.0/63.0, entropy 1.88426, value loss 0.22499, policy loss 0.06935, distill_loss -12.33315, time 2308.79010 min
Updates 14330, num timesteps 9171840, FPS 66, mean/median reward 17.1/12.0, min/max reward 0.0/63.0, entropy 1.88627, value loss 0.20790, policy loss -0.03189, distill_loss -14.81308, time 2309.91717 min
Updates 14340, num timesteps 9178240, FPS 66, mean/median reward 18.8/13.0, min/max reward 0.0/63.0, entropy 1.83606, value loss 0.14530, policy loss 0.03463, distill_loss -15.02914, time 2311.03448 min
Updates 14350, num timesteps 9184640, FPS 66, mean/median reward 20.3/16.0, min/max reward 0.0/63.0, entropy 1.91025, value loss 0.09223, policy loss -0.06286, distill_loss -10.51836, time 2312.17564 min
Updates 14360, num timesteps 9191040, FPS 66, mean/median reward 21.9/16.0, min/max reward 0.0/64.0, entropy 1.95383, value loss 0.18028, policy loss -0.01048, distill_loss -9.16056, time 2313.28456 min
Updates 14370, num timesteps 9197440, FPS 66, mean/median reward 19.9/16.0, min/max reward 0.0/64.0, entropy 1.90431, value loss 0.08517, policy loss -0.05475, distill_loss -8.98206, time 2314.38629 min
Updates 14380, num timesteps 9203840, FPS 66, mean/median reward 19.5/16.0, min/max reward 0.0/64.0, entropy 1.79279, value loss 0.15309, policy loss -0.08125, distill_loss -12.07759, time 2315.48462 min
Updates 14390, num timesteps 9210240, FPS 66, mean/median reward 21.5/15.0, min/max reward 0.0/75.0, entropy 2.00986, value loss 0.09497, policy loss 0.03142, distill_loss -8.25299, time 2316.58570 min
Updates 14400, num timesteps 9216640, FPS 66, mean/median reward 20.7/16.0, min/max reward 0.0/75.0, entropy 1.81127, value loss 0.06368, policy loss -0.05219, distill_loss -11.58601, time 2317.70294 min
Updates 14410, num timesteps 9223040, FPS 66, mean/median reward 19.2/14.0, min/max reward 0.0/75.0, entropy 1.78696, value loss 0.15030, policy loss -0.05550, distill_loss -10.32626, time 2318.82961 min
Updates 14420, num timesteps 9229440, FPS 66, mean/median reward 17.6/12.0, min/max reward 0.0/75.0, entropy 1.75046, value loss 0.07587, policy loss -0.05953, distill_loss -12.04451, time 2319.98140 min
Updates 14430, num timesteps 9235840, FPS 66, mean/median reward 17.3/13.0, min/max reward 0.0/75.0, entropy 1.81436, value loss 0.10329, policy loss -0.03466, distill_loss -15.16632, time 2321.10291 min
Updates 14440, num timesteps 9242240, FPS 66, mean/median reward 17.4/13.0, min/max reward 0.0/75.0, entropy 1.71721, value loss 0.23887, policy loss 0.06874, distill_loss -10.41864, time 2322.23146 min
Updates 14450, num timesteps 9248640, FPS 66, mean/median reward 16.2/12.0, min/max reward 0.0/75.0, entropy 1.82391, value loss 0.09920, policy loss -0.13446, distill_loss -17.41794, time 2323.32488 min
Updates 14460, num timesteps 9255040, FPS 66, mean/median reward 16.8/13.0, min/max reward 0.0/75.0, entropy 1.96006, value loss 0.15358, policy loss 0.06812, distill_loss -7.46280, time 2324.42039 min
Updates 14470, num timesteps 9261440, FPS 66, mean/median reward 14.5/12.0, min/max reward 0.0/62.0, entropy 1.99598, value loss 0.07028, policy loss 0.04012, distill_loss -11.14250, time 2325.51827 min
Updates 14480, num timesteps 9267840, FPS 66, mean/median reward 14.8/13.0, min/max reward 0.0/62.0, entropy 1.82008, value loss 0.15181, policy loss -0.12421, distill_loss -16.12398, time 2326.61127 min
Updates 14490, num timesteps 9274240, FPS 66, mean/median reward 13.9/12.0, min/max reward 0.0/52.0, entropy 1.76612, value loss 0.17225, policy loss 0.01123, distill_loss -14.38203, time 2327.70626 min
Updates 14500, num timesteps 9280640, FPS 66, mean/median reward 14.0/12.0, min/max reward 0.0/65.0, entropy 1.65615, value loss 0.16349, policy loss -0.11455, distill_loss -20.60568, time 2328.82446 min
Updates 14510, num timesteps 9287040, FPS 66, mean/median reward 14.7/12.0, min/max reward 0.0/65.0, entropy 1.66220, value loss 0.13193, policy loss -0.02321, distill_loss -16.55598, time 2329.93053 min
Updates 14520, num timesteps 9293440, FPS 66, mean/median reward 16.4/14.0, min/max reward 0.0/65.0, entropy 1.66832, value loss 0.44514, policy loss 0.08682, distill_loss -15.54047, time 2331.03304 min
Updates 14530, num timesteps 9299840, FPS 66, mean/median reward 17.9/16.0, min/max reward 0.0/65.0, entropy 1.77448, value loss 0.17298, policy loss -0.06400, distill_loss -14.48612, time 2332.19231 min
Updates 14540, num timesteps 9306240, FPS 66, mean/median reward 18.2/17.0, min/max reward 0.0/71.0, entropy 1.64399, value loss 0.12700, policy loss -0.12937, distill_loss -21.36993, time 2333.32052 min
Updates 14550, num timesteps 9312640, FPS 66, mean/median reward 19.9/18.0, min/max reward 0.0/71.0, entropy 1.75752, value loss 0.10132, policy loss 0.02190, distill_loss -20.90517, time 2334.42048 min
Updates 14560, num timesteps 9319040, FPS 66, mean/median reward 20.0/18.0, min/max reward 0.0/71.0, entropy 1.57695, value loss 0.20269, policy loss -0.00159, distill_loss -23.09053, time 2335.51841 min
Updates 14570, num timesteps 9325440, FPS 66, mean/median reward 20.5/18.0, min/max reward 0.0/71.0, entropy 1.81655, value loss 0.09716, policy loss 0.04534, distill_loss -12.54875, time 2336.62320 min
Updates 14580, num timesteps 9331840, FPS 66, mean/median reward 21.0/20.0, min/max reward 0.0/71.0, entropy 1.75947, value loss 0.13371, policy loss -0.01443, distill_loss -12.68271, time 2337.76866 min
Updates 14590, num timesteps 9338240, FPS 66, mean/median reward 21.2/20.0, min/max reward 0.0/71.0, entropy 1.93211, value loss 0.18501, policy loss 0.09929, distill_loss -6.98693, time 2338.89704 min
Updates 14600, num timesteps 9344640, FPS 66, mean/median reward 22.9/20.0, min/max reward 0.0/71.0, entropy 1.95491, value loss 0.35373, policy loss 0.17303, distill_loss -10.03811, time 2340.05441 min
Updates 14610, num timesteps 9351040, FPS 66, mean/median reward 22.9/22.0, min/max reward 0.0/59.0, entropy 1.91262, value loss 0.06483, policy loss 0.00823, distill_loss -10.79912, time 2341.18718 min
Updates 14620, num timesteps 9357440, FPS 66, mean/median reward 22.1/18.0, min/max reward 0.0/59.0, entropy 1.31535, value loss 0.29561, policy loss -0.09593, distill_loss -44.65897, time 2342.32544 min
Updates 14630, num timesteps 9363840, FPS 66, mean/median reward 21.2/17.0, min/max reward 0.0/59.0, entropy 1.80746, value loss 0.36126, policy loss 0.13967, distill_loss -14.32248, time 2343.44718 min
Updates 14640, num timesteps 9370240, FPS 66, mean/median reward 21.8/17.0, min/max reward 0.0/59.0, entropy 1.87421, value loss 0.10399, policy loss 0.01232, distill_loss -15.98177, time 2344.56780 min
Updates 14650, num timesteps 9376640, FPS 66, mean/median reward 21.2/18.0, min/max reward 0.0/59.0, entropy 1.98785, value loss 0.48612, policy loss 0.12344, distill_loss -9.45930, time 2345.71228 min
Updates 14660, num timesteps 9383040, FPS 66, mean/median reward 21.1/18.0, min/max reward 0.0/67.0, entropy 1.85531, value loss 0.13959, policy loss -0.02266, distill_loss -13.52413, time 2346.81827 min
Updates 14670, num timesteps 9389440, FPS 66, mean/median reward 21.6/18.0, min/max reward 0.0/67.0, entropy 1.71429, value loss 0.16954, policy loss -0.11411, distill_loss -18.80385, time 2347.92362 min
Updates 14680, num timesteps 9395840, FPS 66, mean/median reward 19.9/15.0, min/max reward 0.0/67.0, entropy 1.72377, value loss 0.10995, policy loss -0.05470, distill_loss -16.93465, time 2349.01970 min
Updates 14690, num timesteps 9402240, FPS 66, mean/median reward 20.4/17.0, min/max reward 0.0/59.0, entropy 1.96087, value loss 0.08157, policy loss -0.10009, distill_loss -9.49597, time 2350.14397 min
Updates 14700, num timesteps 9408640, FPS 66, mean/median reward 20.3/17.0, min/max reward 0.0/59.0, entropy 1.82999, value loss 0.22265, policy loss 0.01818, distill_loss -16.71151, time 2351.27590 min
Updates 14710, num timesteps 9415040, FPS 66, mean/median reward 19.6/12.0, min/max reward 0.0/59.0, entropy 1.86738, value loss 0.12472, policy loss -0.00950, distill_loss -14.66665, time 2352.39399 min
Updates 14720, num timesteps 9421440, FPS 66, mean/median reward 21.2/17.0, min/max reward 0.0/59.0, entropy 1.86435, value loss 0.11288, policy loss -0.07947, distill_loss -12.85893, time 2353.54328 min
Updates 14730, num timesteps 9427840, FPS 66, mean/median reward 21.0/17.0, min/max reward 0.0/67.0, entropy 1.49460, value loss 0.46018, policy loss -0.24298, distill_loss -34.99627, time 2354.64432 min
Updates 14740, num timesteps 9434240, FPS 66, mean/median reward 20.3/15.0, min/max reward 0.0/67.0, entropy 1.87935, value loss 0.07253, policy loss 0.01168, distill_loss -12.80602, time 2355.74747 min
Updates 14750, num timesteps 9440640, FPS 66, mean/median reward 20.7/15.0, min/max reward 0.0/67.0, entropy 1.97343, value loss 0.07241, policy loss -0.12022, distill_loss -13.64484, time 2356.88851 min
Updates 14760, num timesteps 9447040, FPS 66, mean/median reward 19.8/12.0, min/max reward 0.0/67.0, entropy 2.00660, value loss 0.10086, policy loss -0.03487, distill_loss -15.13624, time 2357.99260 min
Updates 14770, num timesteps 9453440, FPS 66, mean/median reward 20.6/12.0, min/max reward 0.0/67.0, entropy 2.07967, value loss 0.07460, policy loss -0.02038, distill_loss -7.96106, time 2359.10011 min
Updates 14780, num timesteps 9459840, FPS 66, mean/median reward 19.0/11.0, min/max reward 0.0/59.0, entropy 1.93075, value loss 0.34384, policy loss 0.14606, distill_loss -11.31791, time 2360.21094 min
Updates 14790, num timesteps 9466240, FPS 66, mean/median reward 18.0/10.0, min/max reward 0.0/59.0, entropy 1.84222, value loss 0.21014, policy loss -0.05302, distill_loss -17.78096, time 2361.33014 min
