command line args: main.py --environment-model CopyModel --env-name HuntMiniPacmanNoFrameskip-v0 --algo i2a --log-interval 10 --num-processes 128 --num-stack 1 --distill-coef 10 --entropy-coef 0.02 --port 5027
Updates 0, num timesteps 640, FPS 695, mean/median reward -2.3/0.0, min/max reward -20.0/0.0, entropy 1.60919, value loss 21.55485, policy loss -1.34010, distill_loss 0.19072, time 0.01534 min
Updates 23860, num timesteps 15271040, FPS 1832, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00007, value loss 1.11449, policy loss -0.00000, distill_loss -97.48553, time 138.87790 min
Updates 23870, num timesteps 15277440, FPS 1832, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00012, value loss 0.98745, policy loss 0.00000, distill_loss -96.23218, time 138.93375 min
Updates 23880, num timesteps 15283840, FPS 1832, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00015, value loss 1.36863, policy loss -0.00001, distill_loss -84.80611, time 138.98483 min
Updates 23890, num timesteps 15290240, FPS 1832, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00135, value loss 1.16707, policy loss -0.00005, distill_loss -91.04122, time 139.03695 min
Updates 23900, num timesteps 15296640, FPS 1832, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00028, value loss 1.96664, policy loss -0.00002, distill_loss -84.69610, time 139.12694 min
Updates 23910, num timesteps 15303040, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00029, value loss 1.05123, policy loss -0.00000, distill_loss -79.49239, time 139.22720 min
Updates 23920, num timesteps 15309440, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00041, value loss 0.89984, policy loss -0.00002, distill_loss -91.92596, time 139.29646 min
Updates 23930, num timesteps 15315840, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00015, value loss 0.75763, policy loss 0.00000, distill_loss -89.43929, time 139.34930 min
Updates 23940, num timesteps 15322240, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00013, value loss 1.00932, policy loss 0.00000, distill_loss -90.37086, time 139.40214 min
Updates 23950, num timesteps 15328640, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00019, value loss 1.34325, policy loss -0.00000, distill_loss -91.33098, time 139.45485 min
Updates 23960, num timesteps 15335040, FPS 1832, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00010, value loss 1.10254, policy loss -0.00000, distill_loss -94.32506, time 139.50860 min
Updates 23970, num timesteps 15341440, FPS 1832, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00015, value loss 1.25366, policy loss 0.00000, distill_loss -90.55254, time 139.56320 min
Updates 23980, num timesteps 15347840, FPS 1832, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00005, value loss 1.09309, policy loss -0.00000, distill_loss -99.07946, time 139.61850 min
Updates 23990, num timesteps 15354240, FPS 1832, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00009, value loss 2.18480, policy loss 0.00000, distill_loss -94.97870, time 139.68082 min
Updates 24000, num timesteps 15360640, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00019, value loss 0.86484, policy loss 0.00417, distill_loss -98.09460, time 139.74686 min
Updates 24010, num timesteps 15367040, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00011, value loss 1.17344, policy loss -0.00001, distill_loss -97.99195, time 139.83843 min
Updates 24020, num timesteps 15373440, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00004, value loss 0.68158, policy loss -0.00000, distill_loss -93.89244, time 139.89212 min
Updates 24030, num timesteps 15379840, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00020, value loss 1.94301, policy loss -0.00001, distill_loss -97.96010, time 139.94426 min
Updates 24040, num timesteps 15386240, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00009, value loss 1.15182, policy loss 0.00000, distill_loss -101.20856, time 139.99909 min
Updates 24050, num timesteps 15392640, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00007, value loss 0.80364, policy loss 0.00000, distill_loss -102.11744, time 140.05218 min
Updates 24060, num timesteps 15399040, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00002, value loss 0.87725, policy loss 0.00000, distill_loss -104.97585, time 140.10704 min
Updates 24070, num timesteps 15405440, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00003, value loss 0.67197, policy loss 0.00000, distill_loss -108.44072, time 140.16544 min
Updates 24080, num timesteps 15411840, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00026, value loss 1.06058, policy loss -0.00001, distill_loss -107.73374, time 140.21674 min
Updates 24090, num timesteps 15418240, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00016, value loss 0.76438, policy loss -0.00617, distill_loss -108.96429, time 140.26935 min
Updates 24100, num timesteps 15424640, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00047, value loss 1.98858, policy loss 0.00000, distill_loss -98.28527, time 140.34150 min
Updates 24110, num timesteps 15431040, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00008, value loss 1.12572, policy loss -0.00000, distill_loss -106.92403, time 140.43633 min
Updates 24120, num timesteps 15437440, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00007, value loss 0.98599, policy loss -0.00000, distill_loss -106.70687, time 140.48922 min
Updates 24130, num timesteps 15443840, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00003, value loss 1.13348, policy loss 0.00000, distill_loss -120.06433, time 140.54278 min
Updates 24140, num timesteps 15450240, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00003, value loss 0.91077, policy loss 0.00000, distill_loss -119.33229, time 140.59436 min
Updates 24150, num timesteps 15456640, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00014, value loss 1.08840, policy loss -0.00000, distill_loss -107.75278, time 140.65047 min
Updates 24160, num timesteps 15463040, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00055, value loss 1.13693, policy loss -0.00000, distill_loss -114.03596, time 140.70596 min
Updates 24170, num timesteps 15469440, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00026, value loss 0.75057, policy loss 0.00000, distill_loss -118.61684, time 140.75845 min
Updates 24180, num timesteps 15475840, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00014, value loss 1.02149, policy loss -0.00000, distill_loss -122.26134, time 140.81383 min
Updates 24190, num timesteps 15482240, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00005, value loss 1.34362, policy loss -0.00000, distill_loss -114.31648, time 140.86954 min
Updates 24200, num timesteps 15488640, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00018, value loss 1.51270, policy loss -0.00000, distill_loss -114.74689, time 140.93170 min
Updates 24210, num timesteps 15495040, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00056, value loss 1.25687, policy loss -0.00001, distill_loss -116.13035, time 141.03149 min
Updates 24220, num timesteps 15501440, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00006, value loss 0.94461, policy loss -0.00000, distill_loss -135.61319, time 141.08587 min
Updates 24230, num timesteps 15507840, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00004, value loss 1.25284, policy loss -0.00000, distill_loss -126.07814, time 141.14262 min
Updates 24240, num timesteps 15514240, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00038, value loss 2.40213, policy loss 0.00000, distill_loss -114.61003, time 141.19627 min
Updates 24250, num timesteps 15520640, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00019, value loss 1.12529, policy loss 0.00000, distill_loss -120.51353, time 141.25483 min
Updates 24260, num timesteps 15527040, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00010, value loss 1.33232, policy loss -0.00000, distill_loss -126.47147, time 141.30920 min
Updates 24270, num timesteps 15533440, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00006, value loss 0.99536, policy loss 0.00000, distill_loss -114.36989, time 141.36574 min
Updates 24280, num timesteps 15539840, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00003, value loss 1.13053, policy loss 0.00000, distill_loss -122.83411, time 141.41962 min
Updates 24290, num timesteps 15546240, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00019, value loss 2.24457, policy loss -0.00000, distill_loss -112.82428, time 141.47282 min
Updates 24300, num timesteps 15552640, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00002, value loss 0.90428, policy loss -0.00000, distill_loss -117.16073, time 141.54707 min
Updates 24310, num timesteps 15559040, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00002, value loss 1.09817, policy loss -0.00000, distill_loss -110.25051, time 141.64894 min
Updates 24320, num timesteps 15565440, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00005, value loss 0.97335, policy loss -0.00000, distill_loss -111.56437, time 141.70972 min
Updates 24330, num timesteps 15571840, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00006, value loss 1.37120, policy loss 0.00000, distill_loss -105.31380, time 141.76329 min
Updates 24340, num timesteps 15578240, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00003, value loss 1.10185, policy loss 0.00000, distill_loss -113.86479, time 141.81723 min
Updates 24350, num timesteps 15584640, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00001, value loss 1.18491, policy loss -0.00000, distill_loss -117.90212, time 141.87972 min
Updates 24360, num timesteps 15591040, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00002, value loss 0.88917, policy loss 0.00000, distill_loss -118.99546, time 141.93470 min
Updates 24370, num timesteps 15597440, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.08043, policy loss 0.00000, distill_loss -113.52061, time 141.98670 min
Updates 24380, num timesteps 15603840, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.04763, policy loss -0.00000, distill_loss -127.46291, time 142.03945 min
Updates 24390, num timesteps 15610240, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00001, value loss 0.82969, policy loss 0.00000, distill_loss -116.91536, time 142.09235 min
Updates 24400, num timesteps 15616640, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00001, value loss 1.09753, policy loss -0.00000, distill_loss -105.03181, time 142.14828 min
Updates 24410, num timesteps 15623040, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.28475, policy loss -0.00000, distill_loss -108.76810, time 142.24560 min
Updates 24420, num timesteps 15629440, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.39691, policy loss -0.00000, distill_loss -110.67989, time 142.29888 min
Updates 24430, num timesteps 15635840, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.24564, policy loss 0.00000, distill_loss -121.72506, time 142.35042 min
Updates 24440, num timesteps 15642240, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00001, value loss 1.09810, policy loss -0.00000, distill_loss -104.80908, time 142.41323 min
Updates 24450, num timesteps 15648640, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.06709, policy loss -0.00000, distill_loss -110.21859, time 142.46858 min
Updates 24460, num timesteps 15655040, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00001, value loss 0.89991, policy loss -0.00000, distill_loss -105.76460, time 142.52034 min
Updates 24470, num timesteps 15661440, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00001, value loss 1.57275, policy loss -0.00000, distill_loss -111.05656, time 142.57142 min
Updates 24480, num timesteps 15667840, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.04508, policy loss 0.00000, distill_loss -110.93552, time 142.62613 min
Updates 24490, num timesteps 15674240, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.55894, policy loss -0.00000, distill_loss -108.68887, time 142.67947 min
Updates 24500, num timesteps 15680640, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.20282, policy loss -0.00000, distill_loss -104.99972, time 142.73718 min
Updates 24510, num timesteps 15687040, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.34634, policy loss -0.00000, distill_loss -112.33392, time 142.83306 min
Updates 24520, num timesteps 15693440, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.60764, policy loss 0.00000, distill_loss -118.41675, time 142.88539 min
Updates 24530, num timesteps 15699840, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.37020, policy loss 0.00000, distill_loss -113.43367, time 142.93760 min
Updates 24540, num timesteps 15706240, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.13902, policy loss -0.00000, distill_loss -120.64162, time 142.98829 min
Updates 24550, num timesteps 15712640, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.15968, policy loss -0.00000, distill_loss -111.29271, time 143.03896 min
Updates 24560, num timesteps 15719040, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.34561, policy loss -0.00000, distill_loss -116.27283, time 143.08901 min
Updates 24570, num timesteps 15725440, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.48773, policy loss -0.00000, distill_loss -115.32662, time 143.13911 min
Updates 24580, num timesteps 15731840, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.20566, policy loss 0.00000, distill_loss -123.42723, time 143.19034 min
Updates 24590, num timesteps 15738240, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.94196, policy loss 0.00000, distill_loss -121.63939, time 143.24291 min
Updates 24600, num timesteps 15744640, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.78886, policy loss 0.00000, distill_loss -126.27074, time 143.29852 min
Updates 24610, num timesteps 15751040, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.68811, policy loss -0.00000, distill_loss -129.15015, time 143.39088 min
Updates 24620, num timesteps 15757440, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.34838, policy loss -0.00000, distill_loss -117.03247, time 143.44139 min
Updates 24630, num timesteps 15763840, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.84759, policy loss -0.00000, distill_loss -137.35220, time 143.49246 min
Updates 24640, num timesteps 15770240, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.33394, policy loss 0.00000, distill_loss -131.99026, time 143.54658 min
Updates 24650, num timesteps 15776640, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.13887, policy loss 0.00000, distill_loss -133.72606, time 143.60183 min
Updates 24660, num timesteps 15783040, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.56701, policy loss 0.00000, distill_loss -120.03072, time 143.65386 min
Updates 24670, num timesteps 15789440, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.42747, policy loss -0.00000, distill_loss -149.91068, time 143.71117 min
Updates 24680, num timesteps 15795840, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.18562, policy loss -0.00000, distill_loss -123.44167, time 143.76344 min
Updates 24690, num timesteps 15802240, FPS 1831, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.83459, policy loss -0.00000, distill_loss -138.08676, time 143.81555 min
Updates 24700, num timesteps 15808640, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.35845, policy loss 0.00000, distill_loss -137.40271, time 143.94788 min
Updates 24710, num timesteps 15815040, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.64786, policy loss 0.00000, distill_loss -147.42545, time 144.04496 min
Updates 24720, num timesteps 15821440, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.80993, policy loss -0.00000, distill_loss -139.48657, time 144.09636 min
Updates 24730, num timesteps 15827840, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.80404, policy loss 0.00000, distill_loss -132.33394, time 144.15485 min
Updates 24740, num timesteps 15834240, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.92296, policy loss -0.00000, distill_loss -140.82304, time 144.20858 min
Updates 24750, num timesteps 15840640, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.20456, policy loss 0.00000, distill_loss -148.54031, time 144.26108 min
Updates 24760, num timesteps 15847040, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00000, value loss 1.12291, policy loss -0.00000, distill_loss -144.73642, time 144.31313 min
Updates 24770, num timesteps 15853440, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00000, value loss 1.14062, policy loss 0.00000, distill_loss -139.63974, time 144.36554 min
Updates 24780, num timesteps 15859840, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 2.15855, policy loss -0.00000, distill_loss -146.06720, time 144.42129 min
Updates 24790, num timesteps 15866240, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.97557, policy loss -0.00000, distill_loss -160.73793, time 144.47957 min
Updates 24800, num timesteps 15872640, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.25840, policy loss 0.00000, distill_loss -145.77283, time 144.53614 min
Updates 24810, num timesteps 15879040, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.78907, policy loss -0.00000, distill_loss -131.52217, time 144.63155 min
Updates 24820, num timesteps 15885440, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.71150, policy loss 0.00000, distill_loss -161.76160, time 144.68523 min
Updates 24830, num timesteps 15891840, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.24234, policy loss 0.00000, distill_loss -154.28583, time 144.74068 min
Updates 24840, num timesteps 15898240, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.78624, policy loss -0.00000, distill_loss -150.80298, time 144.79584 min
Updates 24850, num timesteps 15904640, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.03308, policy loss -0.00000, distill_loss -151.24191, time 144.84705 min
Updates 24860, num timesteps 15911040, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.34513, policy loss -0.00000, distill_loss -140.60979, time 144.90215 min
Updates 24870, num timesteps 15917440, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00000, value loss 1.62550, policy loss -0.00000, distill_loss -150.28699, time 144.95709 min
Updates 24880, num timesteps 15923840, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00000, value loss 1.10920, policy loss -0.00000, distill_loss -152.81155, time 145.01090 min
Updates 24890, num timesteps 15930240, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00000, value loss 1.00686, policy loss -0.00000, distill_loss -149.51176, time 145.06593 min
Updates 24900, num timesteps 15936640, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.86633, policy loss 0.00000, distill_loss -146.38922, time 145.12177 min
Updates 24910, num timesteps 15943040, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.99391, policy loss 0.00000, distill_loss -144.89635, time 145.21969 min
Updates 24920, num timesteps 15949440, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.04404, policy loss 0.00000, distill_loss -140.30869, time 145.28015 min
Updates 24930, num timesteps 15955840, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.72456, policy loss 0.00000, distill_loss -156.81830, time 145.33199 min
Updates 24940, num timesteps 15962240, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.18400, policy loss 0.00000, distill_loss -145.56113, time 145.38320 min
Updates 24950, num timesteps 15968640, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.76166, policy loss -0.00000, distill_loss -144.57631, time 145.43426 min
Updates 24960, num timesteps 15975040, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.23191, policy loss -0.00000, distill_loss -149.20633, time 145.49049 min
Updates 24970, num timesteps 15981440, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.69910, policy loss 0.00000, distill_loss -139.59477, time 145.54641 min
Updates 24980, num timesteps 15987840, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.49437, policy loss 0.00000, distill_loss -139.23367, time 145.59473 min
Updates 24990, num timesteps 15994240, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.45056, policy loss -0.00000, distill_loss -134.86234, time 145.64634 min
Updates 25000, num timesteps 16000640, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.72381, policy loss 0.00000, distill_loss -132.19272, time 145.70157 min
Updates 25010, num timesteps 16007040, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.52307, policy loss 0.00000, distill_loss -135.64662, time 145.79545 min
Updates 25020, num timesteps 16013440, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.12867, policy loss -0.00000, distill_loss -137.12532, time 145.84799 min
Updates 25030, num timesteps 16019840, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.65623, policy loss -0.00000, distill_loss -132.13937, time 145.90172 min
Updates 25040, num timesteps 16026240, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.57589, policy loss -0.00000, distill_loss -127.57776, time 145.96121 min
Updates 25050, num timesteps 16032640, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.45256, policy loss -0.00000, distill_loss -141.01813, time 146.01497 min
Updates 25060, num timesteps 16039040, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.01056, policy loss -0.00000, distill_loss -131.21107, time 146.06768 min
Updates 25070, num timesteps 16045440, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.52858, policy loss 0.00000, distill_loss -129.84814, time 146.11889 min
Updates 25080, num timesteps 16051840, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.29770, policy loss 0.00000, distill_loss -138.57019, time 146.17000 min
Updates 25090, num timesteps 16058240, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.29264, policy loss 0.00000, distill_loss -140.33376, time 146.22311 min
Updates 25100, num timesteps 16064640, FPS 1830, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.84039, policy loss -0.00000, distill_loss -124.27100, time 146.29577 min
Updates 25110, num timesteps 16071040, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.02294, policy loss 0.00000, distill_loss -137.98503, time 146.39212 min
Updates 25120, num timesteps 16077440, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.10825, policy loss -0.00000, distill_loss -122.72954, time 146.44411 min
Updates 25130, num timesteps 16083840, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.68567, policy loss -0.00000, distill_loss -132.87631, time 146.49752 min
Updates 25140, num timesteps 16090240, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.47142, policy loss -0.00000, distill_loss -125.13822, time 146.58828 min
Updates 25150, num timesteps 16096640, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.96507, policy loss 0.00000, distill_loss -125.97294, time 146.63993 min
Updates 25160, num timesteps 16103040, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.35528, policy loss -0.00000, distill_loss -137.92415, time 146.69429 min
Updates 25170, num timesteps 16109440, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.88856, policy loss 0.00000, distill_loss -136.42409, time 146.74931 min
Updates 25180, num timesteps 16115840, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 0.89795, policy loss -0.00000, distill_loss -124.63261, time 146.80271 min
Updates 25190, num timesteps 16122240, FPS 1829, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00000, value loss 1.69719, policy loss -0.00000, distill_loss -128.39165, time 146.85450 min
