command line args: main.py --env-name MsPacmanNoFrameskip-v0 --algo a2c --num-stack 4 --train-on-200x160-pixel --port 5026 --log-dir /tmp/a2c_mspacman --num-processes 128
Updates 0, num timesteps 640, FPS 398, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.18486, value loss 0.01736, policy loss 0.21304, time 0.02680 min
Updates 28210, num timesteps 18055040, FPS 211, mean/median reward 33.9/14.0, min/max reward 0.0/138.0, entropy 1.79585, value loss 0.06784, policy loss -0.05339, time 1420.76045 min
Updates 28220, num timesteps 18061440, FPS 211, mean/median reward 32.9/14.0, min/max reward 0.0/138.0, entropy 1.80143, value loss 0.03581, policy loss -0.07138, time 1421.01682 min
Updates 28230, num timesteps 18067840, FPS 211, mean/median reward 33.0/14.0, min/max reward 0.0/138.0, entropy 1.85254, value loss 0.05200, policy loss -0.02168, time 1421.27452 min
Updates 28240, num timesteps 18074240, FPS 211, mean/median reward 35.6/16.0, min/max reward 0.0/138.0, entropy 1.85013, value loss 0.05494, policy loss -0.02400, time 1421.54226 min
Updates 28250, num timesteps 18080640, FPS 211, mean/median reward 34.1/16.0, min/max reward 0.0/138.0, entropy 1.82151, value loss 0.06183, policy loss -0.02709, time 1421.79891 min
Updates 28260, num timesteps 18087040, FPS 211, mean/median reward 33.4/16.0, min/max reward 0.0/138.0, entropy 1.86050, value loss 0.06763, policy loss -0.04908, time 1422.05464 min
Updates 28270, num timesteps 18093440, FPS 212, mean/median reward 33.2/15.0, min/max reward 0.0/141.0, entropy 1.85783, value loss 0.25292, policy loss 0.05874, time 1422.31006 min
Updates 28280, num timesteps 18099840, FPS 212, mean/median reward 32.6/15.0, min/max reward 0.0/141.0, entropy 1.83527, value loss 0.03852, policy loss 0.00237, time 1422.56633 min
Updates 28290, num timesteps 18106240, FPS 212, mean/median reward 34.2/15.0, min/max reward 0.0/141.0, entropy 1.85695, value loss 0.03686, policy loss -0.03228, time 1422.82168 min
Updates 28300, num timesteps 18112640, FPS 212, mean/median reward 34.2/14.0, min/max reward 0.0/141.0, entropy 1.86187, value loss 0.07603, policy loss 0.00156, time 1423.08177 min
Updates 28310, num timesteps 18119040, FPS 212, mean/median reward 36.4/15.0, min/max reward 0.0/141.0, entropy 1.84566, value loss 0.05273, policy loss -0.05514, time 1423.34643 min
Updates 28320, num timesteps 18125440, FPS 212, mean/median reward 38.3/16.0, min/max reward 0.0/141.0, entropy 1.87235, value loss 0.04514, policy loss -0.04235, time 1423.60227 min
Updates 28330, num timesteps 18131840, FPS 212, mean/median reward 36.2/15.0, min/max reward 0.0/141.0, entropy 1.86538, value loss 0.06651, policy loss 0.03670, time 1423.86043 min
Updates 28340, num timesteps 18138240, FPS 212, mean/median reward 35.0/14.0, min/max reward 0.0/141.0, entropy 1.87121, value loss 0.06140, policy loss 0.00930, time 1424.13001 min
Updates 28350, num timesteps 18144640, FPS 212, mean/median reward 35.1/14.0, min/max reward 0.0/141.0, entropy 1.83627, value loss 0.35944, policy loss 0.08416, time 1424.41427 min
Updates 28360, num timesteps 18151040, FPS 212, mean/median reward 38.1/15.0, min/max reward 0.0/141.0, entropy 1.84610, value loss 0.06210, policy loss -0.00225, time 1424.67135 min
Updates 28370, num timesteps 18157440, FPS 212, mean/median reward 38.7/16.0, min/max reward 0.0/141.0, entropy 1.80201, value loss 0.04557, policy loss 0.03642, time 1424.92674 min
Updates 28380, num timesteps 18163840, FPS 212, mean/median reward 39.0/16.0, min/max reward 0.0/141.0, entropy 1.86528, value loss 0.13764, policy loss 0.03606, time 1425.17822 min
Updates 28390, num timesteps 18170240, FPS 212, mean/median reward 39.2/17.0, min/max reward 0.0/141.0, entropy 1.86745, value loss 0.05326, policy loss -0.07444, time 1425.43391 min
Updates 28400, num timesteps 18176640, FPS 212, mean/median reward 37.1/16.0, min/max reward 0.0/139.0, entropy 1.87037, value loss 0.12240, policy loss 0.06325, time 1425.69003 min
Updates 28410, num timesteps 18183040, FPS 212, mean/median reward 33.9/14.0, min/max reward 0.0/139.0, entropy 1.82825, value loss 0.05753, policy loss -0.00642, time 1425.93477 min
Updates 28420, num timesteps 18189440, FPS 212, mean/median reward 33.1/12.0, min/max reward 0.0/139.0, entropy 1.83788, value loss 0.05552, policy loss 0.03312, time 1426.17578 min
Updates 28430, num timesteps 18195840, FPS 212, mean/median reward 31.4/12.0, min/max reward 0.0/139.0, entropy 1.81027, value loss 0.17118, policy loss 0.01327, time 1426.41578 min
Updates 28440, num timesteps 18202240, FPS 212, mean/median reward 32.1/12.0, min/max reward 0.0/139.0, entropy 1.84745, value loss 0.35872, policy loss 0.06937, time 1426.66155 min
Updates 28450, num timesteps 18208640, FPS 212, mean/median reward 31.9/12.0, min/max reward 0.0/139.0, entropy 1.88110, value loss 0.06164, policy loss -0.00392, time 1426.90175 min
Updates 28460, num timesteps 18215040, FPS 212, mean/median reward 31.7/14.0, min/max reward 0.0/139.0, entropy 1.88267, value loss 0.04359, policy loss 0.01462, time 1427.14151 min
Updates 28470, num timesteps 18221440, FPS 212, mean/median reward 31.3/14.0, min/max reward 0.0/137.0, entropy 1.86796, value loss 0.24945, policy loss 0.10657, time 1427.38150 min
Updates 28480, num timesteps 18227840, FPS 212, mean/median reward 31.2/15.0, min/max reward 0.0/131.0, entropy 1.91368, value loss 0.04487, policy loss -0.03357, time 1427.62902 min
Updates 28490, num timesteps 18234240, FPS 212, mean/median reward 30.8/15.0, min/max reward 0.0/131.0, entropy 1.82614, value loss 0.17137, policy loss 0.05469, time 1427.86999 min
Updates 28500, num timesteps 18240640, FPS 212, mean/median reward 30.3/14.0, min/max reward 0.0/131.0, entropy 1.82147, value loss 0.08104, policy loss 0.01962, time 1428.11690 min
Updates 28510, num timesteps 18247040, FPS 212, mean/median reward 29.4/14.0, min/max reward 0.0/131.0, entropy 1.78404, value loss 0.11494, policy loss -0.01479, time 1428.38708 min
Updates 28520, num timesteps 18253440, FPS 212, mean/median reward 29.5/14.0, min/max reward 0.0/131.0, entropy 1.88261, value loss 0.06305, policy loss 0.04910, time 1428.63059 min
Updates 28530, num timesteps 18259840, FPS 212, mean/median reward 30.1/14.0, min/max reward 0.0/131.0, entropy 1.83793, value loss 0.16899, policy loss 0.06441, time 1428.87372 min
Updates 28540, num timesteps 18266240, FPS 213, mean/median reward 31.4/14.0, min/max reward 0.0/131.0, entropy 1.82052, value loss 0.13183, policy loss 0.08932, time 1429.11441 min
Updates 28550, num timesteps 18272640, FPS 213, mean/median reward 32.4/15.0, min/max reward 0.0/131.0, entropy 1.81943, value loss 0.06947, policy loss 0.00262, time 1429.36237 min
Updates 28560, num timesteps 18279040, FPS 213, mean/median reward 32.0/14.0, min/max reward 0.0/131.0, entropy 1.89693, value loss 0.06465, policy loss 0.00594, time 1429.60724 min
Updates 28570, num timesteps 18285440, FPS 213, mean/median reward 33.1/14.0, min/max reward 0.0/131.0, entropy 1.90315, value loss 0.09841, policy loss 0.04884, time 1429.84776 min
Updates 28580, num timesteps 18291840, FPS 213, mean/median reward 32.4/12.0, min/max reward 0.0/131.0, entropy 1.86891, value loss 0.10690, policy loss 0.04759, time 1430.08958 min
Updates 28590, num timesteps 18298240, FPS 213, mean/median reward 36.5/14.0, min/max reward 0.0/137.0, entropy 1.87866, value loss 0.25034, policy loss 0.10835, time 1430.32849 min
Updates 28600, num timesteps 18304640, FPS 213, mean/median reward 36.7/14.0, min/max reward 0.0/137.0, entropy 1.79085, value loss 0.05378, policy loss -0.01711, time 1430.58118 min
Updates 28610, num timesteps 18311040, FPS 213, mean/median reward 36.5/13.0, min/max reward 0.0/137.0, entropy 1.85364, value loss 0.20613, policy loss 0.00904, time 1430.83175 min
Updates 28620, num timesteps 18317440, FPS 213, mean/median reward 35.4/14.0, min/max reward 0.0/137.0, entropy 1.84718, value loss 0.07674, policy loss 0.05295, time 1431.07252 min
Updates 28630, num timesteps 18323840, FPS 213, mean/median reward 35.4/14.0, min/max reward 0.0/137.0, entropy 1.79933, value loss 0.04528, policy loss 0.04283, time 1431.32856 min
Updates 28640, num timesteps 18330240, FPS 213, mean/median reward 35.2/14.0, min/max reward 0.0/137.0, entropy 1.80276, value loss 0.05751, policy loss -0.07424, time 1431.57425 min
Updates 28650, num timesteps 18336640, FPS 213, mean/median reward 34.9/13.0, min/max reward 0.0/137.0, entropy 1.82627, value loss 0.19402, policy loss 0.04291, time 1431.81574 min
Updates 28660, num timesteps 18343040, FPS 213, mean/median reward 35.2/13.0, min/max reward 0.0/137.0, entropy 1.88192, value loss 0.18746, policy loss -0.02725, time 1432.06041 min
Updates 28670, num timesteps 18349440, FPS 213, mean/median reward 36.9/14.0, min/max reward 0.0/137.0, entropy 1.82578, value loss 0.05879, policy loss -0.06523, time 1432.30000 min
Updates 28680, num timesteps 18355840, FPS 213, mean/median reward 38.6/16.0, min/max reward 0.0/137.0, entropy 1.80358, value loss 0.11316, policy loss -0.08451, time 1432.53774 min
Updates 28690, num timesteps 18362240, FPS 213, mean/median reward 37.3/16.0, min/max reward 0.0/137.0, entropy 1.82937, value loss 0.04760, policy loss 0.01017, time 1432.78225 min
Updates 28700, num timesteps 18368640, FPS 213, mean/median reward 36.7/16.0, min/max reward 0.0/137.0, entropy 1.86142, value loss 0.09479, policy loss 0.06240, time 1433.04137 min
Updates 28710, num timesteps 18375040, FPS 213, mean/median reward 36.4/16.0, min/max reward 0.0/132.0, entropy 1.80888, value loss 0.04307, policy loss -0.02545, time 1433.30752 min
Updates 28720, num timesteps 18381440, FPS 213, mean/median reward 33.1/14.0, min/max reward 0.0/126.0, entropy 1.80826, value loss 0.05214, policy loss 0.03469, time 1433.56406 min
Updates 28730, num timesteps 18387840, FPS 213, mean/median reward 32.4/14.0, min/max reward 0.0/126.0, entropy 1.83626, value loss 0.07850, policy loss -0.05727, time 1433.81842 min
Updates 28740, num timesteps 18394240, FPS 213, mean/median reward 30.3/13.0, min/max reward 0.0/123.0, entropy 1.87133, value loss 0.06214, policy loss -0.01839, time 1434.26015 min
Updates 28750, num timesteps 18400640, FPS 213, mean/median reward 32.1/14.0, min/max reward 0.0/125.0, entropy 1.83928, value loss 0.14534, policy loss -0.00423, time 1434.51707 min
Updates 28760, num timesteps 18407040, FPS 213, mean/median reward 32.8/14.0, min/max reward 0.0/126.0, entropy 1.82563, value loss 0.06627, policy loss -0.00311, time 1434.77241 min
Updates 28770, num timesteps 18413440, FPS 213, mean/median reward 32.9/15.0, min/max reward 0.0/126.0, entropy 1.89658, value loss 0.06663, policy loss 0.03819, time 1435.02843 min
Updates 28780, num timesteps 18419840, FPS 213, mean/median reward 32.7/16.0, min/max reward 0.0/126.0, entropy 1.85599, value loss 0.22355, policy loss 0.12189, time 1435.28339 min
Updates 28790, num timesteps 18426240, FPS 213, mean/median reward 33.4/16.0, min/max reward 0.0/126.0, entropy 1.83254, value loss 0.06655, policy loss -0.10254, time 1435.53778 min
Updates 28800, num timesteps 18432640, FPS 213, mean/median reward 33.9/16.0, min/max reward 0.0/126.0, entropy 1.81614, value loss 0.08172, policy loss 0.04578, time 1435.80345 min
Updates 28810, num timesteps 18439040, FPS 213, mean/median reward 32.6/16.0, min/max reward 0.0/126.0, entropy 1.85609, value loss 0.05334, policy loss -0.01714, time 1436.06455 min
Updates 28820, num timesteps 18445440, FPS 214, mean/median reward 31.8/14.0, min/max reward 0.0/126.0, entropy 1.82435, value loss 0.05312, policy loss 0.01324, time 1436.32996 min
Updates 28830, num timesteps 18451840, FPS 214, mean/median reward 29.6/12.0, min/max reward 0.0/132.0, entropy 1.82138, value loss 0.05796, policy loss -0.05244, time 1436.58968 min
Updates 28840, num timesteps 18458240, FPS 214, mean/median reward 29.5/12.0, min/max reward 0.0/132.0, entropy 1.84366, value loss 0.04335, policy loss -0.00846, time 1436.84518 min
Updates 28850, num timesteps 18464640, FPS 214, mean/median reward 28.4/12.0, min/max reward 0.0/132.0, entropy 1.87191, value loss 0.40590, policy loss 0.14569, time 1437.09672 min
Updates 28860, num timesteps 18471040, FPS 214, mean/median reward 28.7/12.0, min/max reward 0.0/132.0, entropy 1.84123, value loss 0.03491, policy loss -0.03423, time 1437.35067 min
Updates 28870, num timesteps 18477440, FPS 214, mean/median reward 28.5/12.0, min/max reward 0.0/143.0, entropy 1.80828, value loss 0.17143, policy loss 0.07630, time 1437.61099 min
Updates 28880, num timesteps 18483840, FPS 214, mean/median reward 28.2/12.0, min/max reward 0.0/143.0, entropy 1.82571, value loss 0.05079, policy loss 0.02153, time 1437.87040 min
Updates 28890, num timesteps 18490240, FPS 214, mean/median reward 28.7/12.0, min/max reward 0.0/143.0, entropy 1.90244, value loss 0.06833, policy loss -0.10116, time 1438.12418 min
Updates 28900, num timesteps 18496640, FPS 214, mean/median reward 29.0/12.0, min/max reward 0.0/143.0, entropy 1.81956, value loss 0.23458, policy loss 0.07308, time 1438.38338 min
Updates 28910, num timesteps 18503040, FPS 214, mean/median reward 29.0/12.0, min/max reward 0.0/143.0, entropy 1.83457, value loss 0.05832, policy loss -0.03703, time 1438.64363 min
Updates 28920, num timesteps 18509440, FPS 214, mean/median reward 31.8/12.0, min/max reward 0.0/143.0, entropy 1.64920, value loss 0.05923, policy loss -0.07667, time 1438.94935 min
Updates 28930, num timesteps 18515840, FPS 214, mean/median reward 31.4/12.0, min/max reward 0.0/143.0, entropy 1.83065, value loss 0.09109, policy loss -0.01581, time 1439.21033 min
Updates 28940, num timesteps 18522240, FPS 214, mean/median reward 32.9/13.0, min/max reward 0.0/144.0, entropy 1.82082, value loss 0.04433, policy loss -0.00875, time 1439.47892 min
Updates 28950, num timesteps 18528640, FPS 214, mean/median reward 32.8/13.0, min/max reward 0.0/144.0, entropy 1.84221, value loss 0.07465, policy loss -0.09885, time 1439.74600 min
Updates 28960, num timesteps 18535040, FPS 214, mean/median reward 31.8/12.0, min/max reward 0.0/144.0, entropy 1.79424, value loss 0.06285, policy loss -0.03972, time 1440.01913 min
Updates 28970, num timesteps 18541440, FPS 214, mean/median reward 34.1/15.0, min/max reward 0.0/144.0, entropy 1.85348, value loss 0.04343, policy loss -0.03284, time 1440.27727 min
Updates 28980, num timesteps 18547840, FPS 214, mean/median reward 35.6/15.0, min/max reward 0.0/144.0, entropy 1.83063, value loss 0.05642, policy loss -0.00351, time 1440.52968 min
Updates 28990, num timesteps 18554240, FPS 214, mean/median reward 34.4/15.0, min/max reward 0.0/144.0, entropy 1.81353, value loss 0.08517, policy loss -0.01544, time 1440.78460 min
Updates 29000, num timesteps 18560640, FPS 214, mean/median reward 36.1/16.0, min/max reward 0.0/144.0, entropy 1.84046, value loss 0.03864, policy loss -0.00226, time 1441.04036 min
Updates 29010, num timesteps 18567040, FPS 214, mean/median reward 37.7/17.0, min/max reward 0.0/144.0, entropy 1.82259, value loss 0.11922, policy loss 0.04186, time 1441.29078 min
Updates 29020, num timesteps 18573440, FPS 214, mean/median reward 37.3/17.0, min/max reward 0.0/144.0, entropy 1.83379, value loss 0.08563, policy loss 0.00025, time 1441.54186 min
Updates 29030, num timesteps 18579840, FPS 214, mean/median reward 39.2/17.0, min/max reward 0.0/144.0, entropy 1.81149, value loss 0.08180, policy loss -0.04722, time 1441.79239 min
Updates 29040, num timesteps 18586240, FPS 214, mean/median reward 41.1/18.0, min/max reward 0.0/144.0, entropy 1.85408, value loss 0.06324, policy loss -0.05339, time 1442.03090 min
Updates 29050, num timesteps 18592640, FPS 214, mean/median reward 41.2/18.0, min/max reward 0.0/144.0, entropy 1.87484, value loss 0.06931, policy loss 0.01451, time 1442.28370 min
Updates 29060, num timesteps 18599040, FPS 214, mean/median reward 40.3/17.0, min/max reward 0.0/144.0, entropy 1.85758, value loss 0.04344, policy loss -0.01432, time 1442.55764 min
Updates 29070, num timesteps 18605440, FPS 214, mean/median reward 40.5/17.0, min/max reward 0.0/144.0, entropy 1.90502, value loss 0.21878, policy loss 0.07044, time 1442.79715 min
Updates 29080, num timesteps 18611840, FPS 214, mean/median reward 41.0/17.0, min/max reward 0.0/144.0, entropy 1.80359, value loss 0.08914, policy loss 0.01064, time 1443.03242 min
Updates 29090, num timesteps 18618240, FPS 215, mean/median reward 40.5/19.0, min/max reward 0.0/144.0, entropy 1.84914, value loss 0.04833, policy loss -0.03858, time 1443.27236 min
Updates 29100, num timesteps 18624640, FPS 215, mean/median reward 39.6/18.0, min/max reward 0.0/144.0, entropy 1.84064, value loss 0.17873, policy loss 0.10654, time 1443.51621 min
Updates 29110, num timesteps 18631040, FPS 215, mean/median reward 37.5/18.0, min/max reward 0.0/144.0, entropy 1.80867, value loss 0.07341, policy loss -0.01926, time 1443.76360 min
Updates 29120, num timesteps 18637440, FPS 215, mean/median reward 36.8/18.0, min/max reward 0.0/144.0, entropy 1.88434, value loss 0.19140, policy loss 0.09420, time 1444.00897 min
Updates 29130, num timesteps 18643840, FPS 215, mean/median reward 34.6/16.0, min/max reward 0.0/144.0, entropy 1.86851, value loss 0.06438, policy loss -0.10932, time 1444.25057 min
Updates 29140, num timesteps 18650240, FPS 215, mean/median reward 35.8/18.0, min/max reward 0.0/144.0, entropy 1.86982, value loss 0.11535, policy loss 0.03766, time 1444.49622 min
Updates 29150, num timesteps 18656640, FPS 215, mean/median reward 32.0/14.0, min/max reward 0.0/144.0, entropy 1.87530, value loss 0.04617, policy loss -0.00922, time 1444.73545 min
Updates 29160, num timesteps 18663040, FPS 215, mean/median reward 32.0/14.0, min/max reward 0.0/144.0, entropy 1.86404, value loss 0.08585, policy loss -0.02106, time 1445.02981 min
Updates 29170, num timesteps 18669440, FPS 215, mean/median reward 33.6/15.0, min/max reward 0.0/144.0, entropy 1.81907, value loss 0.07014, policy loss -0.07166, time 1445.27231 min
Updates 29180, num timesteps 18675840, FPS 215, mean/median reward 32.3/14.0, min/max reward 0.0/144.0, entropy 1.92453, value loss 0.09688, policy loss -0.01758, time 1445.51812 min
Updates 29190, num timesteps 18682240, FPS 215, mean/median reward 31.1/13.0, min/max reward 0.0/144.0, entropy 1.89748, value loss 0.05543, policy loss -0.05841, time 1445.77849 min
Updates 29200, num timesteps 18688640, FPS 215, mean/median reward 31.6/13.0, min/max reward 0.0/144.0, entropy 1.86543, value loss 0.17367, policy loss 0.06420, time 1446.03370 min
Updates 29210, num timesteps 18695040, FPS 215, mean/median reward 30.5/13.0, min/max reward 0.0/141.0, entropy 1.87957, value loss 0.04772, policy loss 0.00564, time 1446.28395 min
Updates 29220, num timesteps 18701440, FPS 215, mean/median reward 30.5/12.0, min/max reward 0.0/141.0, entropy 1.89493, value loss 0.06367, policy loss -0.02975, time 1446.52766 min
Updates 29230, num timesteps 18707840, FPS 215, mean/median reward 30.0/13.0, min/max reward 0.0/141.0, entropy 1.89842, value loss 0.06190, policy loss -0.05454, time 1446.77780 min
Updates 29240, num timesteps 18714240, FPS 215, mean/median reward 32.1/14.0, min/max reward 0.0/141.0, entropy 1.88913, value loss 0.27576, policy loss 0.07343, time 1447.03496 min
Updates 29250, num timesteps 18720640, FPS 215, mean/median reward 30.0/13.0, min/max reward 0.0/141.0, entropy 1.86414, value loss 0.05197, policy loss 0.01229, time 1447.27622 min
Updates 29260, num timesteps 18727040, FPS 215, mean/median reward 30.3/13.0, min/max reward 0.0/137.0, entropy 1.82778, value loss 0.06006, policy loss -0.00264, time 1447.51599 min
Updates 29270, num timesteps 18733440, FPS 215, mean/median reward 30.3/13.0, min/max reward 0.0/137.0, entropy 1.80466, value loss 0.06169, policy loss -0.04249, time 1447.77940 min
Updates 29280, num timesteps 18739840, FPS 215, mean/median reward 31.8/13.0, min/max reward 0.0/137.0, entropy 1.80780, value loss 0.05412, policy loss -0.01418, time 1448.02275 min
Updates 29290, num timesteps 18746240, FPS 215, mean/median reward 30.2/12.0, min/max reward 0.0/137.0, entropy 1.86510, value loss 0.04878, policy loss -0.01912, time 1448.26272 min
Updates 29300, num timesteps 18752640, FPS 215, mean/median reward 32.6/14.0, min/max reward 0.0/137.0, entropy 1.90969, value loss 0.12712, policy loss 0.02397, time 1448.51214 min
Updates 29310, num timesteps 18759040, FPS 215, mean/median reward 34.8/19.0, min/max reward 0.0/137.0, entropy 1.82056, value loss 0.04387, policy loss -0.01699, time 1448.77988 min
Updates 29320, num timesteps 18765440, FPS 215, mean/median reward 32.4/14.0, min/max reward 0.0/133.0, entropy 1.83082, value loss 0.10047, policy loss -0.01904, time 1449.03778 min
Updates 29330, num timesteps 18771840, FPS 215, mean/median reward 31.8/12.0, min/max reward 0.0/133.0, entropy 1.83341, value loss 0.05240, policy loss 0.07712, time 1449.28917 min
Updates 29340, num timesteps 18778240, FPS 215, mean/median reward 30.0/12.0, min/max reward 0.0/133.0, entropy 1.85025, value loss 0.14724, policy loss 0.06078, time 1449.54441 min
Updates 29350, num timesteps 18784640, FPS 215, mean/median reward 32.2/14.0, min/max reward 0.0/137.0, entropy 1.91590, value loss 0.05909, policy loss 0.01490, time 1449.80347 min
Updates 29360, num timesteps 18791040, FPS 215, mean/median reward 32.3/13.0, min/max reward 0.0/144.0, entropy 1.81668, value loss 0.04671, policy loss -0.05795, time 1450.05889 min
Updates 29370, num timesteps 18797440, FPS 216, mean/median reward 31.9/13.0, min/max reward 0.0/144.0, entropy 1.86917, value loss 0.06663, policy loss -0.01593, time 1450.31393 min
Updates 29380, num timesteps 18803840, FPS 216, mean/median reward 32.6/13.0, min/max reward 0.0/144.0, entropy 1.84287, value loss 0.05291, policy loss 0.02979, time 1450.59159 min
Updates 29390, num timesteps 18810240, FPS 216, mean/median reward 34.4/17.0, min/max reward 0.0/144.0, entropy 1.84051, value loss 0.04485, policy loss -0.02429, time 1450.84244 min
Updates 29400, num timesteps 18816640, FPS 216, mean/median reward 33.6/17.0, min/max reward 0.0/144.0, entropy 1.79596, value loss 0.05798, policy loss -0.00598, time 1451.11358 min
Updates 29410, num timesteps 18823040, FPS 216, mean/median reward 32.2/13.0, min/max reward 0.0/144.0, entropy 1.77976, value loss 0.14033, policy loss -0.03711, time 1451.37559 min
Updates 29420, num timesteps 18829440, FPS 216, mean/median reward 30.9/13.0, min/max reward 0.0/144.0, entropy 1.82962, value loss 0.03723, policy loss 0.02446, time 1451.64587 min
Updates 29430, num timesteps 18835840, FPS 216, mean/median reward 32.1/14.0, min/max reward 0.0/144.0, entropy 1.86357, value loss 0.06043, policy loss -0.00546, time 1451.90460 min
Updates 29440, num timesteps 18842240, FPS 216, mean/median reward 31.0/13.0, min/max reward 0.0/144.0, entropy 1.87493, value loss 0.09746, policy loss 0.03205, time 1452.23051 min
Updates 29450, num timesteps 18848640, FPS 216, mean/median reward 32.1/14.0, min/max reward 0.0/144.0, entropy 1.82215, value loss 0.04492, policy loss 0.02485, time 1452.48377 min
Updates 29460, num timesteps 18855040, FPS 216, mean/median reward 31.6/13.0, min/max reward 0.0/144.0, entropy 1.82384, value loss 0.11296, policy loss -0.04839, time 1452.78672 min
Updates 29470, num timesteps 18861440, FPS 216, mean/median reward 31.2/13.0, min/max reward 0.0/144.0, entropy 1.82238, value loss 0.05526, policy loss -0.00400, time 1453.04354 min
Updates 29480, num timesteps 18867840, FPS 216, mean/median reward 27.9/12.0, min/max reward 0.0/144.0, entropy 1.80838, value loss 0.06623, policy loss -0.01428, time 1453.30058 min
Updates 29490, num timesteps 18874240, FPS 216, mean/median reward 27.2/12.0, min/max reward 0.0/120.0, entropy 1.83478, value loss 0.03285, policy loss -0.00610, time 1453.55106 min
Updates 29500, num timesteps 18880640, FPS 216, mean/median reward 29.0/12.0, min/max reward 0.0/126.0, entropy 1.81486, value loss 0.06182, policy loss 0.08632, time 1453.83322 min
Updates 29510, num timesteps 18887040, FPS 216, mean/median reward 29.2/12.0, min/max reward 0.0/132.0, entropy 1.89124, value loss 0.05378, policy loss -0.03364, time 1454.08277 min
Updates 29520, num timesteps 18893440, FPS 216, mean/median reward 28.1/11.0, min/max reward 0.0/132.0, entropy 1.88751, value loss 0.06231, policy loss 0.00211, time 1454.32662 min
Updates 29530, num timesteps 18899840, FPS 216, mean/median reward 27.9/11.0, min/max reward 0.0/132.0, entropy 1.86172, value loss 0.07052, policy loss -0.04498, time 1454.58615 min
Updates 29540, num timesteps 18906240, FPS 216, mean/median reward 29.9/12.0, min/max reward 0.0/132.0, entropy 1.83877, value loss 0.04415, policy loss 0.00428, time 1454.82390 min
Updates 29550, num timesteps 18912640, FPS 216, mean/median reward 29.3/11.0, min/max reward 0.0/132.0, entropy 1.86015, value loss 0.05840, policy loss 0.02640, time 1455.06460 min
Updates 29560, num timesteps 18919040, FPS 216, mean/median reward 29.0/10.0, min/max reward 0.0/132.0, entropy 1.87562, value loss 0.04170, policy loss -0.03782, time 1455.30663 min
Updates 29570, num timesteps 18925440, FPS 216, mean/median reward 27.9/10.0, min/max reward 0.0/132.0, entropy 1.83315, value loss 0.07265, policy loss 0.00755, time 1455.54896 min
Updates 29580, num timesteps 18931840, FPS 216, mean/median reward 29.9/11.0, min/max reward 0.0/132.0, entropy 1.83493, value loss 0.03848, policy loss -0.02891, time 1455.78966 min
Updates 29590, num timesteps 18938240, FPS 216, mean/median reward 30.1/11.0, min/max reward 0.0/132.0, entropy 1.84558, value loss 0.11487, policy loss -0.05725, time 1456.03418 min
Updates 29600, num timesteps 18944640, FPS 216, mean/median reward 29.4/11.0, min/max reward 0.0/132.0, entropy 1.88016, value loss 0.04151, policy loss 0.02300, time 1456.27615 min
Updates 29610, num timesteps 18951040, FPS 216, mean/median reward 29.8/11.0, min/max reward 0.0/132.0, entropy 1.88968, value loss 0.04656, policy loss -0.01305, time 1456.52618 min
Updates 29620, num timesteps 18957440, FPS 216, mean/median reward 29.7/11.0, min/max reward 0.0/128.0, entropy 1.84697, value loss 0.09220, policy loss -0.02751, time 1456.76498 min
Updates 29630, num timesteps 18963840, FPS 216, mean/median reward 29.7/11.0, min/max reward 0.0/128.0, entropy 1.89744, value loss 0.06972, policy loss 0.00494, time 1457.00436 min
Updates 29640, num timesteps 18970240, FPS 216, mean/median reward 32.0/12.0, min/max reward 0.0/128.0, entropy 1.85263, value loss 0.04985, policy loss 0.02380, time 1457.24080 min
Updates 29650, num timesteps 18976640, FPS 217, mean/median reward 32.0/12.0, min/max reward 0.0/126.0, entropy 1.80935, value loss 0.07831, policy loss 0.01490, time 1457.47992 min
Updates 29660, num timesteps 18983040, FPS 217, mean/median reward 34.2/12.0, min/max reward 0.0/126.0, entropy 1.84700, value loss 0.05708, policy loss -0.04032, time 1457.73292 min
Updates 29670, num timesteps 18989440, FPS 217, mean/median reward 36.7/15.0, min/max reward 0.0/126.0, entropy 1.85485, value loss 0.10908, policy loss -0.10906, time 1457.97483 min
Updates 29680, num timesteps 18995840, FPS 217, mean/median reward 36.7/15.0, min/max reward 0.0/132.0, entropy 1.86552, value loss 0.05350, policy loss -0.07783, time 1458.22009 min
Updates 29690, num timesteps 19002240, FPS 217, mean/median reward 36.6/15.0, min/max reward 0.0/132.0, entropy 1.78476, value loss 0.07276, policy loss 0.01655, time 1458.45953 min
Updates 29700, num timesteps 19008640, FPS 217, mean/median reward 35.9/15.0, min/max reward 0.0/132.0, entropy 1.77781, value loss 0.07287, policy loss 0.02994, time 1458.73941 min
Updates 29710, num timesteps 19015040, FPS 217, mean/median reward 36.4/17.0, min/max reward 0.0/132.0, entropy 1.77430, value loss 0.09083, policy loss -0.02496, time 1458.98472 min
Updates 29720, num timesteps 19021440, FPS 217, mean/median reward 36.7/17.0, min/max reward 0.0/132.0, entropy 1.77306, value loss 0.05517, policy loss -0.07462, time 1459.23265 min
Updates 29730, num timesteps 19027840, FPS 217, mean/median reward 36.9/17.0, min/max reward 0.0/132.0, entropy 1.87051, value loss 0.10756, policy loss 0.00226, time 1459.48677 min
